,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Cantelon Jonah,Male,05-03-2025,Stoneham,CAN,Canada,Nor-Am Cup,Big Air,35,5.40
1,Cantelon Jonah,Male,04-03-2025,Stoneham,CAN,Canada,Nor-Am Cup,Slopestyle,34,14.30
2,Cantelon Jonah,Male,26-02-2025,Winsport Calgary,CAN,Canada,Nor-Am Cup Premium,Big Air,12,49.70
3,Cantelon Jonah,Male,25-02-2025,Winsport Calgary,CAN,Canada,Nor-Am Cup Premium,Slopestyle,47,8.10
4,Cantelon Jonah,Male,19-01-2025,Bardonecchia,ITA,Canada,Universiade,Big Air,8,26.60
5,Cantelon Jonah,Male,17-01-2025,Bardonecchia,ITA,Canada,Universiade,Slopestyle,9,22.00
6,Cantelon Jonah,Male,03-04-2024,Stoneham,CAN,Canada,Nor-Am Cup,Slopestyle,19,4.20
7,Cantelon Jonah,Male,03-04-2024,Stoneham,CAN,Canada,Nor-Am Cup,Big Air,13,9.60
8,Cantelon Jonah,Male,02-03-2024,Blue Mtn,CAN,Canada,FIS,Slopestyle,1,20.00
9,Cantelon Jonah,Male,10-02-2024,Val Saint Come,CAN,Canada,FIS,Slopestyle,4,27.10
10,Cantelon Jonah,Male,18-01-2024,Sun Peaks,CAN,Canada,Nor-Am Cup,Big Air,30,15.50
11,Cantelon Jonah,Male,17-01-2024,Sun Peaks,CAN,Canada,Nor-Am Cup,Slopestyle,17,37.10
12,Cantelon Jonah,Male,15-03-2023,Stoneham,CAN,Canada,Nor-Am Cup,Big Air,16,11.50
13,Cantelon Jonah,Male,14-03-2023,Stoneham,CAN,Canada,Nor-Am Cup,Slopestyle,16,28.30
14,Cantelon Jonah,Male,10-03-2023,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Big Air,7,64.80
15,Cantelon Jonah,Male,09-03-2023,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Slopestyle,12,48.30
16,Cantelon Jonah,Male,08-03-2023,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Slopestyle,33,4.90
17,Cantelon Jonah,Male,16-02-2023,Winsport Calgary,CAN,Canada,Nor-Am Cup,Big Air,21,12.90
18,Cantelon Jonah,Male,15-02-2023,Winsport Calgary,CAN,Canada,Nor-Am Cup,Slopestyle,33,18.70
19,Cantelon Jonah,Male,18-01-2023,Gore Mountain,USA,Canada,Universiade,Slopestyle,DNS,
20,Cantelon Jonah,Male,17-01-2023,Gore Mountain,USA,Canada,Qualification,Slopestyle,DNS,
21,Cantelon Jonah,Male,24-03-2022,Stoneham,CAN,Canada,Nor-Am Cup,Big Air,14,15.60
22,Cantelon Jonah,Male,22-03-2022,Stoneham,CAN,Canada,Nor-Am Cup,Slopestyle,5,88.30
23,Cantelon Jonah,Male,20-03-2022,Beaver Valley,CAN,Canada,Nor-Am Cup,Big Air,10,18.60
24,Cantelon Jonah,Male,19-03-2022,Beaver Valley,CAN,Canada,Nor-Am Cup,Slopestyle,16,18.00
25,Cantelon Jonah,Male,18-03-2022,Beaver Valley,CAN,Canada,Nor-Am Cup,Slopestyle,18,16.10
26,Cantelon Jonah,Male,12-03-2022,Ontario,CAN,Canada,FIS,Slopestyle,3,10.40
27,Cantelon Jonah,Male,13-02-2022,Blue Mountain,CAN,Canada,FIS,Slopestyle,5,24.80
28,Cantelon Jonah,Male,04-02-2022,Calgary,CAN,Canada,Nor-Am Cup,Big Air,25,8.50
29,Cantelon Jonah,Male,10-03-2020,"Canada Olympic Park, AB",CAN,Canada,National Junior Championships,Slopestyle,22,13.50
30,Cantelon Jonah,Male,25-02-2020,Mount St-Louis Moonstone,CAN,Canada,Nor-Am Cup,Slopestyle,41,3.64
31,Cantelon Jonah,Male,24-02-2020,Mount St-Louis Moonstone,CAN,Canada,Nor-Am Cup,Slopestyle,29,7.20
32,Cantelon Jonah,Male,22-02-2020,Horseshoe Resort,CAN,Canada,FIS,Slopestyle,7,18.00
33,Cantelon Jonah,Male,20-02-2020,Maximise,CAN,Canada,Nor-Am Cup,Big Air,8,51.20
34,Cantelon Jonah,Male,14-02-2020,Tremblant.QC,CAN,Canada,FIS,Slopestyle,10,13.00
35,Cantelon Jonah,Male,13-02-2020,Tremblant.QC,CAN,Canada,FIS,Slopestyle,9,14.50
36,Cantelon Jonah,Male,16-01-2020,Sun Peaks,CAN,Canada,Nor-Am Cup,Big Air,44,
37,Cantelon Jonah,Male,15-01-2020,Sun Peaks,CAN,Canada,Nor-Am Cup,Slopestyle,48,2.58
38,Cantelon Jonah,Male,03-03-2019,Mount St-Louis Moonstone,CAN,Canada,FIS,Slopestyle,7,18.00
39,Cantelon Jonah,Male,07-02-2019,Mount St-Louis Moonstone,CAN,Canada,Nor-Am Cup,Slopestyle,47,
40,Cantelon Jonah,Male,03-02-2019,Tremblant.QC,CAN,Canada,FIS,Slopestyle,16,22.50
41,Cantelon Jonah,Male,02-02-2019,Tremblant.QC,CAN,Canada,FIS,Slopestyle,21,
