,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Schweizer Mika,Male,15-01-2025,Seiser Alm,ITA,Germany,European Cup,Slopestyle,27,16.50
1,Schweizer Mika,Male,11-01-2025,Prato Nevoso,ITA,Germany,European Cup,Slopestyle,45,13.30
2,Schweizer Mika,Male,30-03-2024,Livigno/Mottolino,ITA,Germany,FIS Junior World Championships,Big Air,18,45.30
3,Schweizer Mika,Male,28-03-2024,Livigno/Mottolino,ITA,Germany,Qualification,Big Air,7,
4,Schweizer Mika,Male,26-03-2024,Livigno/Mottolino,ITA,Germany,FIS Junior World Championships,Slopestyle,14,58.30
5,Schweizer Mika,Male,26-03-2024,Livigno/Mottolino,ITA,Germany,Qualification,Slopestyle,5,
6,Schweizer Mika,Male,15-02-2024,Davos,SUI,Germany,European Cup,Big Air,40,2.00
7,Schweizer Mika,Male,10-02-2024,Mayrhofen,AUT,Germany,FIS,Slopestyle,2,40.20
8,Schweizer Mika,Male,28-01-2024,Schladming Planai,AUT,Germany,Junior,Slopestyle,1,20.00
9,Schweizer Mika,Male,04-09-2023,Cardrona,NZL,Germany,FIS Junior World Championships,Big Air,28,46.20
10,Schweizer Mika,Male,02-09-2023,Cardrona,NZL,Germany,Qualification,Big Air,15,
11,Schweizer Mika,Male,30-08-2023,Cardrona,NZL,Germany,FIS Junior World Championships,Slopestyle,47,22.20
12,Schweizer Mika,Male,28-08-2023,Cardrona,NZL,Germany,Qualification,Slopestyle,25,
13,Schweizer Mika,Male,22-04-2023,Kitzsteinhorn,AUT,Germany,European Cup,Big Air,37,21.40
14,Schweizer Mika,Male,21-04-2023,Kitzsteinhorn,AUT,Germany,European Cup,Slopestyle,28,32.30
15,Schweizer Mika,Male,19-04-2023,Kitzsteinhorn,AUT,Germany,European Cup,Halfpipe,DNS,
16,Schweizer Mika,Male,18-04-2023,Kitzsteinhorn,AUT,Germany,European Cup,Halfpipe,9,32.10
17,Schweizer Mika,Male,04-03-2023,Oberammergau,GER,Germany,FIS,Slopestyle,7,19.90
18,Schweizer Mika,Male,29-01-2023,Superpark Planai Schladming,AUT,Germany,Junior,Slopestyle,2,7.50
19,Schweizer Mika,Male,27-01-2023,Ravascletto - Zoncolan,ITA,Germany,European Youth Olympic Festival,Slopestyle,23,0.80
20,Schweizer Mika,Male,24-01-2023,Ravascletto - Zoncolan,ITA,Germany,European Youth Olympic Festival,Big Air,13,7.80
21,Schweizer Mika,Male,29-11-2022,Glacier 3000,SUI,Germany,FIS,Slopestyle,11,28.30
22,Schweizer Mika,Male,22-04-2022,Kitzsteinhorn,AUT,Germany,National Championships,Slopestyle,6,18.80
23,Schweizer Mika,Male,20-04-2022,Kitzsteinhorn,AUT,Germany,European Cup,Halfpipe,6,37.20
24,Schweizer Mika,Male,26-02-2022,Götschen,GER,Germany,European Cup,Big Air,DNS,
25,Schweizer Mika,Male,25-02-2022,Götschen,GER,Germany,European Cup,Slopestyle,51,14.60
