,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Sato Seigo,Male,15-03-2024,Yuzawamachi,JPN,Japan,FIS,Snowboard Cross,1,70.00
1,Sato Seigo,Male,14-03-2024,Yuzawamachi,JPN,Japan,National Championships,Snowboard Cross,2,88.00
2,Sato Seigo,Male,25-02-2024,Grasgehren,GER,Japan,European Cup,Snowboard Cross,22,26.10
3,Sato Seigo,Male,24-02-2024,Grasgehren,GER,Japan,European Cup,Snowboard Cross,21,32.00
4,Sato Seigo,Male,17-02-2024,Colere,ITA,Japan,European Cup,Snowboard Cross,12,52.80
5,Sato Seigo,Male,16-02-2024,Colere,ITA,Japan,European Cup,Snowboard Cross,28,9.60
6,Sato Seigo,Male,06-02-2024,Reiteralm,AUT,Japan,European Cup,Snowboard Cross,40,3.70
7,Sato Seigo,Male,05-02-2024,Reiteralm,AUT,Japan,European Cup,Snowboard Cross,10,52.00
8,Sato Seigo,Male,28-01-2024,Puy St. Vincent,FRA,Japan,European Cup,Snowboard Cross,14,36.00
9,Sato Seigo,Male,27-01-2024,Puy St. Vincent,FRA,Japan,European Cup,Snowboard Cross,23,16.00
10,Sato Seigo,Male,20-01-2024,Montafon,AUT,Japan,National Championships,Snowboard Cross,31,8.12
11,Sato Seigo,Male,09-12-2023,Pitztal,AUT,Japan,FIS,Snowboard Cross,19,16.80
12,Sato Seigo,Male,09-04-2023,Yuzawamachi,JPN,Japan,National Championships,Snowboard Cross,1,100.00
13,Sato Seigo,Male,20-03-2023,Mt. Orignal,CAN,Japan,Nor-Am Cup,Snowboard Cross,11,38.40
14,Sato Seigo,Male,16-03-2023,Horseshoe Resort,CAN,Japan,Nor-Am Cup,Snowboard Cross,9,46.40
15,Sato Seigo,Male,15-03-2023,Horseshoe Resort,CAN,Japan,Nor-Am Cup,Snowboard Cross,10,41.60
16,Sato Seigo,Male,12-03-2023,Horseshoe Resort,CAN,Japan,FIS,Snowboard Cross,2,40.00
17,Sato Seigo,Male,13-01-2023,Gore Mountain,USA,Japan,Universiade,Snowboard Cross,9,75.40
18,Sato Seigo,Male,12-01-2023,Gore Mountain,USA,Japan,Qualification,Snowboard Cross,12,
19,Sato Seigo,Male,25-11-2022,Pitztal,AUT,Japan,FIS,Snowboard Cross,49,3.48
20,Sato Seigo,Male,03-09-2022,Mt Hotham,AUS,Japan,Australian New Zealand Cup,Snowboard Cross,4,130.00
21,Sato Seigo,Male,02-09-2022,Mt Hotham,AUS,Japan,Australian New Zealand Cup,Snowboard Cross,13,52.00
22,Sato Seigo,Male,01-09-2022,Mt Hotham,AUS,Japan,Australian New Zealand Cup,Snowboard Cross,9,75.40
23,Sato Seigo,Male,09-04-2022,Yuzawamachi,JPN,Japan,National Championships,Snowboard Cross,DNS,
24,Sato Seigo,Male,31-03-2022,Veysonnaz,SUI,Japan,FIS Junior World Championships,Snowboard Cross,25,15.60
25,Sato Seigo,Male,23-03-2021,Krasnoyarsk ,RUS,Japan,FIS Junior World Championships,Snowboard Cross,23,20.80
26,Sato Seigo,Male,20-01-2020,Villars,SUI,Japan,Youth Olympic Winter Games,Snowboard Cross,21,11.00
27,Sato Seigo,Male,01-12-2019,Pitztal,AUT,Japan,Junior,Snowboard Cross,10,36.40
28,Sato Seigo,Male,30-11-2019,Pitztal,AUT,Japan,Junior,Snowboard Cross,23,11.20
29,Sato Seigo,Male,28-11-2019,Pitztal,AUT,Japan,European Cup,Snowboard Cross,77,2.66
30,Sato Seigo,Male,04-09-2019,Mount Hotham,AUS,Japan,Australian New Zealand Cup,Snowboard Cross,12,79.20
31,Sato Seigo,Male,03-09-2019,Mount Hotham,AUS,Japan,Australian New Zealand Cup,Snowboard Cross,47,5.90
32,Sato Seigo,Male,02-04-2019,Reiteralm,AUT,Japan,FIS Junior World Championships,Snowboard Cross Team,21,
33,Sato Seigo,Male,01-04-2019,Reiteralm,AUT,Japan,FIS Junior World Championships,Snowboard Cross,54,3.43
34,Sato Seigo,Male,31-03-2019,Reiteralm,AUT,Japan,Qualification,Snowboard Cross,54,
35,Sato Seigo,Male,16-03-2019,Omachi,JPN,Japan,FIS,Snowboard Cross,6,28.00
36,Sato Seigo,Male,15-03-2019,Omachi,JPN,Japan,FIS,Snowboard Cross,4,35.00
37,Sato Seigo,Male,10-03-2019,Kurikoma Akiata,JPN,Japan,FIS,Snowboard Cross,9,31.90
38,Sato Seigo,Male,09-03-2019,Kurikoma Akiata,JPN,Japan,National Championships,Snowboard Cross,13,32.00
39,Sato Seigo,Male,02-12-2018,Pitzal,AUT,Japan,Junior,Snowboard Cross,32,3.38
40,Sato Seigo,Male,01-12-2018,Pitzal,AUT,Japan,Junior,Snowboard Cross,49,2.05
41,Sato Seigo,Male,29-11-2018,Pitztal,AUT,Japan,European Cup,Snowboard Cross,86,1.69
42,Sato Seigo,Male,28-11-2018,Pitztal,AUT,Japan,European Cup,Snowboard Cross,97,0.50
43,Sato Seigo,Male,05-09-2018,Mount Hotham,AUS,Japan,Australian New Zealand Cup,Snowboard Cross,16,54.00
44,Sato Seigo,Male,04-09-2018,Mount Hotham,AUS,Japan,Australian New Zealand Cup,Snowboard Cross,21,36.00
45,Sato Seigo,Male,11-03-2018,Kurikoma Akiata,JPN,Japan,FIS,Snowboard Cross,19,15.60
46,Sato Seigo,Male,10-03-2018,Kurikoma Akiata,JPN,Japan,National Championships,Snowboard Cross,18,16.90
