,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Klein Tomas,Male,17-03-2024,Spindleruv Mlyn,CZE,Czechia,FIS,Parallel Slalom,DNS,
1,Klein Tomas,Male,16-03-2024,Spindleruv Mlyn,CZE,Czechia,FIS,Parallel Slalom,12,15.40
2,Klein Tomas,Male,07-01-2024,Dolni Morava,CZE,Czechia,National Championships,Parallel Giant Slalom,15,17.60
3,Klein Tomas,Male,06-01-2024,Dolni Morava,CZE,Czechia,National Championships,Parallel Slalom,14,19.80
4,Klein Tomas,Male,05-03-2023,Spindleruv Mlyn,CZE,Czechia,National Championships,Parallel Slalom,15,11.20
5,Klein Tomas,Male,04-03-2023,Spindleruv Mlyn,CZE,Czechia,National Championships,Parallel Giant Slalom,15,11.20
6,Klein Tomas,Male,26-02-2023,Dolni Morava,CZE,Czechia,FIS,Parallel Slalom,19,14.40
7,Klein Tomas,Male,25-02-2023,Dolni Morava,CZE,Czechia,FIS,Parallel Giant Slalom,16,18.00
8,Klein Tomas,Male,13-03-2022,Spindleruv Mlyn,CZE,Czechia,National Championships,Parallel Slalom,24,7.70
9,Klein Tomas,Male,12-03-2022,Spindleruv Mlyn,CZE,Czechia,National Championships,Parallel Giant Slalom,25,6.60
10,Klein Tomas,Male,20-02-2022,Bozi Dar - Neklid,CZE,Czechia,FIS,Parallel Slalom,18,13.00
11,Klein Tomas,Male,19-02-2022,Bozi Dar - Neklid,CZE,Czechia,FIS,Parallel Slalom,10,26.00
12,Klein Tomas,Male,16-01-2022,Dolni Morava,CZE,Czechia,FIS,Parallel Giant Slalom,20,12.10
13,Klein Tomas,Male,15-01-2022,Dolni Morava,CZE,Czechia,FIS,Parallel Giant Slalom,19,13.20
14,Klein Tomas,Male,01-03-2020,Pec pod Snezkou,CZE,Czechia,FIS,Parallel Slalom,11,12.00
15,Klein Tomas,Male,29-02-2020,Pec pod Snezkou,CZE,Czechia,FIS,Parallel Giant Slalom,13,14.00
16,Klein Tomas,Male,24-03-2019,Paseky nad Jizerou,CZE,Czechia,FIS,Parallel Slalom,20,12.10
17,Klein Tomas,Male,23-03-2019,Paseky nad Jizerou,CZE,Czechia,FIS,Parallel Slalom,DNF1,
18,Klein Tomas,Male,17-02-2019,Bozi Dar - Neklid,CZE,Czechia,FIS,Parallel Slalom,10,13.00
19,Klein Tomas,Male,16-02-2019,Bozi Dar - Neklid,CZE,Czechia,FIS,Parallel Giant Slalom,14,9.00
20,Klein Tomas,Male,20-01-2019,Dolni Morava,CZE,Czechia,FIS,Parallel Giant Slalom,15,11.20
21,Klein Tomas,Male,19-01-2019,Dolni Morava,CZE,Czechia,FIS,Parallel GS,12,11.00
22,Klein Tomas,Male,17-03-2018,Spindleruv Mlyn,CZE,Czechia,FIS,Parallel GS,16,7.50
23,Klein Tomas,Male,21-01-2018,Dolni Morava,CZE,Czechia,FIS,Parallel Slalom,10,13.00
24,Klein Tomas,Male,20-01-2018,Dolni Morava,CZE,Czechia,FIS,Parallel GS,14,9.00
25,Klein Tomas,Male,07-01-2018,Pec pod Snezkou,CZE,Czechia,FIS,Parallel Slalom,17,9.80
26,Klein Tomas,Male,06-01-2018,Pec pod Snezkou,CZE,Czechia,FIS,Parallel GS,16,10.50
27,Klein Tomas,Male,05-03-2017,Herlikovice,CZE,Czechia,FIS,Parallel Slalom,18,6.50
28,Klein Tomas,Male,04-03-2017,Herlikovice,CZE,Czechia,FIS,Parallel GS,17,7.00
29,Klein Tomas,Male,08-01-2017,Dolni Morava,CZE,Czechia,FIS,Parallel Slalom,26,
30,Klein Tomas,Male,07-01-2017,Dolni Morava,CZE,Czechia,FIS,Parallel GS,24,3.50
31,Klein Tomas,Male,27-03-2016,Pec Pod Snezkou,CZE,Czechia,FIS,Parallel Slalom,17,7.00
32,Klein Tomas,Male,26-03-2016,Pec Pod Snezkou,CZE,Czechia,FIS,Parallel GS,16,7.50
33,Klein Tomas,Male,07-02-2016,Dolni Morava,CZE,Czechia,FIS,Parallel Slalom,12,11.00
34,Klein Tomas,Male,06-02-2016,Dolni Morava,CZE,Czechia,FIS,Parallel GS,11,12.00
