,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Thomas Lilou,Female,29-03-2025,Orcières,FRA,France,European Cup,Snowboard Cross,20,
1,Thomas Lilou,Female,14-03-2025,Lenk,SUI,France,European Cup,Snowboard Cross,42,
2,Thomas Lilou,Female,13-03-2025,Lenk,SUI,France,European Cup,Snowboard Cross,38,4.97
3,Thomas Lilou,Female,23-02-2025,Colere,ITA,France,FIS,Snowboard Cross,DNS,
4,Thomas Lilou,Female,22-02-2025,Colere,ITA,France,FIS,Snowboard Cross,27,9.90
5,Thomas Lilou,Female,02-02-2025,St. Lary,FRA,France,National Championships,Snowboard Cross,17,25.20
6,Thomas Lilou,Female,31-01-2025,St. Lary,FRA,France,European Cup,Snowboard Cross,28,
7,Thomas Lilou,Female,25-01-2025,Passo San Pellegrino,ITA,France,FIS,Snowboard Cross,37,
8,Thomas Lilou,Female,24-01-2025,Passo San Pellegrino,ITA,France,FIS,Snowboard Cross,11,31.20
9,Thomas Lilou,Female,12-01-2025,Lenk,SUI,France,Junior Regional Cup,Snowboard Cross,DNS,
