,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,O Seamus,Male,29-03-2025,Engadin,SUI,Ireland,World Championships,Halfpipe,25,51.80
1,O Seamus,Male,27-03-2025,Engadin,SUI,Ireland,Qualification,Halfpipe,25,
2,O Seamus,Male,20-01-2024,Laax,SUI,Ireland,World Cup,Halfpipe,30,89.60
3,O Seamus,Male,16-12-2022,Copper Mountain,USA,Ireland,World Cup,Halfpipe,20,140.80
4,O Seamus,Male,14-12-2022,Copper Mountain,USA,Ireland,Qualification,Halfpipe,12,
5,O Seamus,Male,11-02-2022,Beijing,CHN,Ireland,Olympic Winter Games,Halfpipe,15,126.00
6,O Seamus,Male,09-02-2022,Beijing,CHN,Ireland,Qualification,Halfpipe,15,
7,O Seamus,Male,15-01-2022,Laax,SUI,Ireland,World Cup,Halfpipe,29,84.20
8,O Seamus,Male,13-01-2022,Laax,SUI,Ireland,Qualification,Halfpipe,15,
9,O Seamus,Male,21-03-2021,Aspen,USA,Ireland,World Cup,Halfpipe,16,120.38
10,O Seamus,Male,18-03-2021,Aspen,USA,Ireland,Qualification,Halfpipe,16,
11,O Seamus,Male,13-03-2021,Aspen,USA,Ireland,World Championships,Halfpipe,18,96.75
12,O Seamus,Male,11-03-2021,Aspen,USA,Ireland,Qualification,Halfpipe,18,
13,O Seamus,Male,23-01-2021,Laax,SUI,Ireland,World Cup,Halfpipe,14,197.90
14,O Seamus,Male,21-01-2021,Laax,SUI,Ireland,Qualification,Halfpipe,8,
15,O Seamus,Male,15-02-2020,Calgary,CAN,Ireland,World Cup,Halfpipe,15,160.00
16,O Seamus,Male,13-02-2020,Calgary,CAN,Ireland,Qualification,Halfpipe,15,
17,O Seamus,Male,31-01-2020,Mammoth Mountain Resort,USA,Ireland,World Cup,Halfpipe,15,160.00
18,O Seamus,Male,29-01-2020,Mammoth Mountain Resort,USA,Ireland,Qualification,Halfpipe,15,
19,O Seamus,Male,14-12-2019,Copper Mountain Resort,USA,Ireland,World Cup,Halfpipe,18,130.00
20,O Seamus,Male,12-12-2019,Copper Mountain Resort,USA,Ireland,Qualification,Halfpipe,18,
21,O Seamus,Male,06-12-2019,Copper Mountain Resort,USA,Ireland,FIS,Halfpipe,3,132.00
22,O Seamus,Male,09-03-2019,Mammoth Mountain Resort,USA,Ireland,World Cup,Halfpipe,19,120.00
