,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Wick Lura,Female,15-02-2025,Bakuriani,GEO,Switzerland,European Youth Olympic Festival,Big Air,8,13.70
1,Wick Lura,Female,14-02-2025,Bakuriani,GEO,Switzerland,Qualification,Big Air,1,
2,Wick Lura,Female,12-02-2025,Bakuriani,GEO,Switzerland,European Youth Olympic Festival,Slopestyle,7,24.20
3,Wick Lura,Female,18-01-2025,Laax,SUI,Switzerland,World Cup,Halfpipe,26,35.80
4,Wick Lura,Female,17-01-2025,Laax,SUI,Switzerland,Qualification,Halfpipe,26,
5,Wick Lura,Female,11-01-2025,Prato Nevoso,ITA,Switzerland,European Cup,Slopestyle,4,68.40
6,Wick Lura,Female,21-12-2024,Schilthorn,SUI,Switzerland,FIS,Slopestyle,1,50.00
7,Wick Lura,Female,19-04-2024,Kitzsteinhorn,AUT,Switzerland,European Cup,Halfpipe,3,91.20
8,Wick Lura,Female,08-04-2024,Corvatsch,SUI,Switzerland,European Cup,Halfpipe,DNS,
9,Wick Lura,Female,09-03-2024,Laax,SUI,Switzerland,European Cup Premium,Halfpipe,7,69.40
10,Wick Lura,Female,22-02-2024,Prato Nevoso,ITA,Switzerland,European Cup,Slopestyle,14,18.20
11,Wick Lura,Female,18-02-2024,Davos,SUI,Switzerland,Junior,Slopestyle,1,50.00
12,Wick Lura,Female,01-02-2024,Gangwon/Welli Hilli,KOR,Switzerland,Youth Olympic Winter Games,Halfpipe,3,119.90
13,Wick Lura,Female,09-12-2023,Schilthorn,SUI,Switzerland,FIS,Big Air,1,10.00
14,Wick Lura,Female,23-11-2023,Glacier 3000,SUI,Switzerland,FIS,Slopestyle,1,10.00
15,Wick Lura,Female,16-04-2023,Corvatsch,SUI,Switzerland,National Junior Championships,Slopestyle,2,35.20
16,Wick Lura,Female,19-03-2023,Laax,SUI,Switzerland,National Junior Championships,Halfpipe,1,10.00
17,Wick Lura,Female,18-03-2023,Laax,SUI,Switzerland,European Cup Premium,Halfpipe,10,15.50
18,Wick Lura,Female,19-02-2023,Davos,SUI,Switzerland,Junior,Slopestyle,3,28.40
19,Wick Lura,Female,05-02-2023,Grindelwald,SUI,Switzerland,Junior,Slopestyle,5,0.20
20,Wick Lura,Female,05-02-2023,Grindelwald,SUI,Switzerland,FIS,Halfpipe,2,12.70
21,Wick Lura,Female,17-01-2023,Livigno,ITA,Switzerland,Junior,Slopestyle,DNS,
22,Wick Lura,Female,29-11-2022,Glacier 3000,SUI,Switzerland,FIS,Slopestyle,DNS,
23,Wick Lura,Female,09-04-2022,Corvatsch,SUI,Switzerland,National Junior Championships,Slopestyle,2,0.10
24,Wick Lura,Female,20-03-2022,Laax,SUI,Switzerland,European Cup Premium,Halfpipe,5,68.50
25,Wick Lura,Female,06-02-2022,Grindelwald,SUI,Switzerland,FIS,Big Air,4,23.70
