,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Marta Triinu,Female,05-10-2024,SnowWorld Landgraaf,NED,Estonia,FIS,Rail Event,5,22.80
1,Marta Triinu,Female,04-10-2024,SnowWorld Landgraaf,NED,Estonia,FIS,Slopestyle,6,23.90
2,Marta Triinu,Female,03-10-2024,SnowWorld Landgraaf,NED,Estonia,FIS,Slopestyle,5,28.40
3,Marta Triinu,Female,30-03-2024,Livigno/Mottolino,ITA,Estonia,FIS Junior World Championships,Big Air,23,2.90
4,Marta Triinu,Female,28-03-2024,Livigno/Mottolino,ITA,Estonia,Qualification,Big Air,23,
5,Marta Triinu,Female,26-03-2024,Livigno/Mottolino,ITA,Estonia,FIS Junior World Championships,Slopestyle,17,23.10
6,Marta Triinu,Female,24-03-2024,Livigno/Mottolino,ITA,Estonia,Qualification,Slopestyle,17,
7,Marta Triinu,Female,16-03-2024,Munamae Ski Resort,EST,Estonia,National Junior Championships,Big Air,1,10.00
8,Marta Triinu,Female,28-01-2024,Gangwon/Welli Hilli,KOR,Estonia,Youth Olympic Winter Games,Big Air,14,16.80
9,Marta Triinu,Female,27-01-2024,Gangwon/Welli Hilli,KOR,Estonia,Qualification,Big Air,14,
10,Marta Triinu,Female,24-01-2024,Gangwon/Welli Hilli,KOR,Estonia,Youth Olympic Winter Games,Slopestyle,16,9.60
11,Marta Triinu,Female,30-08-2023,Cardrona,NZL,Estonia,FIS Junior World Championships,Slopestyle,25,20.50
12,Marta Triinu,Female,28-08-2023,Cardrona,NZL,Estonia,Qualification,Slopestyle,15,
