,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Sommariva Lorenzo,Male,02-02-2025,Beidahu,CHN,Italy,World Cup,Snowboard Cross,12,220.00
1,Sommariva Lorenzo,Male,02-02-2025,Beidahu,CHN,Italy,Qualification,Snowboard Cross,23,
2,Sommariva Lorenzo,Male,01-02-2025,Beidahu,CHN,Italy,World Cup,Snowboard Cross,5,450.00
3,Sommariva Lorenzo,Male,31-01-2025,Beidahu,CHN,Italy,Qualification,Snowboard Cross,12,
4,Sommariva Lorenzo,Male,14-12-2024,Cervinia,ITA,Italy,World Cup,Snowboard Cross,3,600.00
5,Sommariva Lorenzo,Male,13-12-2024,Cervinia,ITA,Italy,Qualification,Snowboard Cross,27,
6,Sommariva Lorenzo,Male,30-03-2024,Colere,ITA,Italy,National Championships,Snowboard Cross,8,92.80
7,Sommariva Lorenzo,Male,24-03-2024,Mt. St. Anne,CAN,Italy,World Cup,Snowboard Cross,18,130.00
8,Sommariva Lorenzo,Male,23-03-2024,Mt. St. Anne,CAN,Italy,World Cup,Snowboard Cross,25,60.00
9,Sommariva Lorenzo,Male,22-03-2024,Mt. St. Anne,CAN,Italy,Qualification,Snowboard Cross,3,
10,Sommariva Lorenzo,Male,17-03-2024,Montafon,AUT,Italy,World Cup,Snowboard Cross,17,140.00
11,Sommariva Lorenzo,Male,16-03-2024,Montafon,AUT,Italy,World Cup,Snowboard Cross,17,140.00
12,Sommariva Lorenzo,Male,15-03-2024,Montafon,AUT,Italy,Qualification,Snowboard Cross,2,
13,Sommariva Lorenzo,Male,09-03-2024,Cortina d'Ampezzo,ITA,Italy,World Cup,Snowboard Cross,25,60.00
14,Sommariva Lorenzo,Male,08-03-2024,Cortina d'Ampezzo,ITA,Italy,Qualification,Snowboard Cross,8,
15,Sommariva Lorenzo,Male,03-03-2024,Sierra Nevada,ESP,Italy,World Cup,Snowboard Cross,10,260.00
16,Sommariva Lorenzo,Male,02-03-2024,Sierra Nevada,ESP,Italy,World Cup,Snowboard Cross,21,100.00
17,Sommariva Lorenzo,Male,01-03-2024,Sierra Nevada,ESP,Italy,Qualification,Snowboard Cross,19,
18,Sommariva Lorenzo,Male,04-02-2024,Gudauri,GEO,Italy,World Cup,Snowboard Cross,10,260.00
19,Sommariva Lorenzo,Male,03-02-2024,Gudauri,GEO,Italy,World Cup,Snowboard Cross,25,60.00
20,Sommariva Lorenzo,Male,02-02-2024,Gudauri,GEO,Italy,Qualification,Snowboard Cross,3,
21,Sommariva Lorenzo,Male,26-01-2024,St. Moritz,SUI,Italy,World Cup,Snowboard Cross,16,150.00
22,Sommariva Lorenzo,Male,25-01-2024,St. Moritz,SUI,Italy,Qualification,Snowboard Cross,20,
23,Sommariva Lorenzo,Male,17-12-2023,Cervinia,ITA,Italy,World Cup,Snowboard Cross Team,7,
24,Sommariva Lorenzo,Male,16-12-2023,Cervinia,ITA,Italy,World Cup,Snowboard Cross,41,18.20
25,Sommariva Lorenzo,Male,03-12-2023,Les Deux Alpes,FRA,Italy,Qualification,Snowboard Cross,5,
26,Sommariva Lorenzo,Male,03-12-2023,Les Deux Alpes,FRA,Italy,World Cup,Snowboard Cross,9,290.00
27,Sommariva Lorenzo,Male,02-12-2023,Les Deux Alpes,FRA,Italy,World Cup,Snowboard Cross Team,8,
28,Sommariva Lorenzo,Male,02-04-2023,Moena - Passo San Pellegrino,ITA,Italy,National Championships,Snowboard Cross,1,290.00
29,Sommariva Lorenzo,Male,26-03-2023,Mt. St. Anne,CAN,Italy,World Cup,Snowboard Cross,17,140.00
30,Sommariva Lorenzo,Male,25-03-2023,Mt. St. Anne,CAN,Italy,World Cup,Snowboard Cross,4,500.00
31,Sommariva Lorenzo,Male,24-03-2023,Mt. St. Anne,CAN,Italy,Qualification,Snowboard Cross,6,
32,Sommariva Lorenzo,Male,16-03-2023,Veysonnaz,SUI,Italy,World Cup,Snowboard Cross,3,600.00
33,Sommariva Lorenzo,Male,15-03-2023,Veysonnaz,SUI,Italy,Qualification,Snowboard Cross,1,
34,Sommariva Lorenzo,Male,12-03-2023,Sierra Nevada,ESP,Italy,World Cup,Snowboard Cross,8,320.00
35,Sommariva Lorenzo,Male,11-03-2023,Sierra Nevada,ESP,Italy,World Cup,Snowboard Cross,3,600.00
36,Sommariva Lorenzo,Male,01-03-2023,Bakuriani,GEO,Italy,World Championships,Snowboard Cross,33,24.00
37,Sommariva Lorenzo,Male,04-02-2023,Cortina d'Ampezzo,ITA,Italy,World Cup,Snowboard Cross,5,450.00
38,Sommariva Lorenzo,Male,03-02-2023,Cortina d'Ampezzo,ITA,Italy,Qualification,Snowboard Cross,1,
39,Sommariva Lorenzo,Male,17-12-2022,Cervinia,ITA,Italy,World Cup,Snowboard Cross,13,200.00
40,Sommariva Lorenzo,Male,16-12-2022,Cervinia,ITA,Italy,World Cup,Snowboard Cross,10,260.00
41,Sommariva Lorenzo,Male,15-12-2022,Cervinia,ITA,Italy,Qualification,Snowboard Cross,16,
42,Sommariva Lorenzo,Male,04-12-2022,Les Deux Alpes,FRA,Italy,World Cup,Snowboard Cross,13,200.00
43,Sommariva Lorenzo,Male,02-12-2022,Les Deux Alpes,FRA,Italy,Qualification,Snowboard Cross,2,
44,Sommariva Lorenzo,Male,02-04-2022,Passo San Pellegrino,ITA,Italy,National Championships,Snowboard Cross,1,290.00
45,Sommariva Lorenzo,Male,20-03-2022,Veysonnaz,SUI,Italy,World Cup,Snowboard Cross,5,450.00
