,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Vardy Max,Male,30-03-2025,Orcières,FRA,Great Britain,European Cup,Snowboard Cross,22,26.10
1,Vardy Max,Male,29-03-2025,Orcières,FRA,Great Britain,European Cup,Snowboard Cross,27,13.05
2,Vardy Max,Male,14-03-2025,Lenk,SUI,Great Britain,European Cup,Snowboard Cross,5,90.00
3,Vardy Max,Male,13-03-2025,Lenk,SUI,Great Britain,European Cup,Snowboard Cross,6,80.00
4,Vardy Max,Male,28-02-2025,Passo San Pellegrino,ITA,Great Britain,European Cup,Snowboard Cross,32,4.68
5,Vardy Max,Male,27-02-2025,Passo San Pellegrino,ITA,Great Britain,European Cup,Snowboard Cross,45,
6,Vardy Max,Male,09-02-2025,Dolni Morava,CZE,Great Britain,FIS,Snowboard Cross,4,110.00
7,Vardy Max,Male,08-02-2025,Dolni Morava,CZE,Great Britain,National Championships,Snowboard Cross,2,208.00
8,Vardy Max,Male,02-02-2025,St. Lary,FRA,Great Britain,National Championships,Snowboard Cross,10,39.00
9,Vardy Max,Male,31-01-2025,St. Lary,FRA,Great Britain,European Cup,Snowboard Cross,31,5.04
10,Vardy Max,Male,24-01-2025,Puy St. Vincent,FRA,Great Britain,European Cup,Snowboard Cross,15,28.80
11,Vardy Max,Male,23-01-2025,Puy St. Vincent,FRA,Great Britain,European Cup,Snowboard Cross,35,4.00
12,Vardy Max,Male,14-01-2025,Bardonecchia,ITA,Great Britain,Universiade,Snowboard Cross,11,52.80
13,Vardy Max,Male,27-11-2024,Pitztal,AUT,Great Britain,European Cup,Snowboard Cross,56,4.93
14,Vardy Max,Male,27-11-2024,Pitztal,AUT,Great Britain,Qualification,Snowboard Cross,56,
15,Vardy Max,Male,14-03-2024,Isola 2000,FRA,Great Britain,European Cup,Snowboard Cross,38,3.82
16,Vardy Max,Male,13-03-2024,Isola 2000,FRA,Great Britain,European Cup,Snowboard Cross,28,8.00
17,Vardy Max,Male,02-03-2024,St. Moritz,SUI,Great Britain,FIS,Snowboard Cross,8,44.80
18,Vardy Max,Male,25-02-2024,Grasgehren,GER,Great Britain,European Cup,Snowboard Cross,38,5.54
19,Vardy Max,Male,24-02-2024,Grasgehren,GER,Great Britain,European Cup,Snowboard Cross,35,6.40
20,Vardy Max,Male,17-02-2024,Colere,ITA,Great Britain,European Cup,Snowboard Cross,37,4.66
21,Vardy Max,Male,16-02-2024,Colere,ITA,Great Britain,European Cup,Snowboard Cross,47,3.94
22,Vardy Max,Male,06-02-2024,Reiteralm,AUT,Great Britain,European Cup,Snowboard Cross,34,4.40
23,Vardy Max,Male,05-02-2024,Reiteralm,AUT,Great Britain,European Cup,Snowboard Cross,22,18.00
24,Vardy Max,Male,02-02-2024,Dolni Morava,CZE,Great Britain,FIS,Snowboard Cross,2,56.00
25,Vardy Max,Male,01-02-2024,Dolni Morava,CZE,Great Britain,European Cup,Snowboard Cross,36,4.33
26,Vardy Max,Male,31-01-2024,Dolni Morava,CZE,Great Britain,European Cup,Snowboard Cross,54,3.15
27,Vardy Max,Male,28-01-2024,Puy St. Vincent,FRA,Great Britain,European Cup,Snowboard Cross,26,10.00
28,Vardy Max,Male,27-01-2024,Puy St. Vincent,FRA,Great Britain,European Cup,Snowboard Cross,28,8.00
29,Vardy Max,Male,20-01-2024,Montafon,AUT,Great Britain,National Championships,Snowboard Cross,53,4.23
30,Vardy Max,Male,09-12-2023,Pitztal,AUT,Great Britain,FIS,Snowboard Cross,17,19.60
31,Vardy Max,Male,19-08-2023,Mt Hotham,AUS,Great Britain,Australian New Zealand Cup,Snowboard Cross,7,72.00
32,Vardy Max,Male,18-08-2023,Mt Hotham,AUS,Great Britain,Australian New Zealand Cup,Snowboard Cross,9,46.40
33,Vardy Max,Male,17-08-2023,Mt Hotham,AUS,Great Britain,Australian New Zealand Cup,Snowboard Cross,15,32.00
34,Vardy Max,Male,31-03-2023,Passo San Pellegrino,ITA,Great Britain,FIS Junior World Championships,Snowboard Cross Team,9,
35,Vardy Max,Male,30-03-2023,Passo San Pellegrino,ITA,Great Britain,FIS Junior World Championships,Snowboard Cross,33,7.68
36,Vardy Max,Male,18-03-2023,Passo San Pellegrino,ITA,Great Britain,FIS,Snowboard Cross,26,9.00
37,Vardy Max,Male,16-03-2023,Pitztal,AUT,Great Britain,FIS,Snowboard Cross,11,31.20
38,Vardy Max,Male,15-03-2023,Pitztal,AUT,Great Britain,FIS,Snowboard Cross,9,37.70
39,Vardy Max,Male,12-03-2023,Lenk,SUI,Great Britain,National Junior Championships,Snowboard Cross,1,90.00
40,Vardy Max,Male,19-02-2023,Flumserberg,SUI,Great Britain,Junior,Snowboard Cross,17,15.40
41,Vardy Max,Male,16-02-2023,Moena - Passo San Pellegrino,ITA,Great Britain,European Cup,Snowboard Cross,33,6.96
42,Vardy Max,Male,15-02-2023,Moena - Passo San Pellegrino,ITA,Great Britain,European Cup,Snowboard Cross,47,4.76
43,Vardy Max,Male,22-01-2023,Puy St.Vincent,FRA,Great Britain,European Cup,Snowboard Cross,17,33.60
44,Vardy Max,Male,21-01-2023,Puy St.Vincent,FRA,Great Britain,European Cup,Snowboard Cross,34,5.28
45,Vardy Max,Male,15-01-2023,Reiteralm,AUT,Great Britain,European Cup,Snowboard Cross,42,6.44
46,Vardy Max,Male,14-01-2023,Reiteralm,AUT,Great Britain,European Cup,Snowboard Cross,42,6.44
47,Vardy Max,Male,08-01-2023,Isola 2000,FRA,Great Britain,Junior,Snowboard Cross,9,34.80
48,Vardy Max,Male,07-01-2023,Isola 2000,FRA,Great Britain,European Cup,Snowboard Cross,25,14.40
49,Vardy Max,Male,06-01-2023,Isola 2000,FRA,Great Britain,European Cup,Snowboard Cross,28,9.60
50,Vardy Max,Male,27-11-2022,Pitztal,AUT,Great Britain,Junior,Snowboard Cross,33,3.84
51,Vardy Max,Male,26-11-2022,Pitztal,AUT,Great Britain,Junior,Snowboard Cross,37,3.49
52,Vardy Max,Male,25-11-2022,Pitztal,AUT,Great Britain,FIS,Snowboard Cross,49,3.48
53,Vardy Max,Male,24-11-2022,Pitztal,AUT,Great Britain,European Cup,Snowboard Cross,83,1.34
54,Vardy Max,Male,23-11-2022,Pitztal,AUT,Great Britain,Qualification,Snowboard Cross,83,
