,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Xu Lyra,Female,17-03-2025,Sun Peaks,CAN,Canada,FIS,Slopestyle,2,38.30
1,Xu Lyra,Female,23-02-2025,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,4,16.40
2,Xu Lyra,Female,22-02-2025,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,3,28.40
3,Xu Lyra,Female,03-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,5,20.10
4,Xu Lyra,Female,02-03-2024,"Silver Star Mountain Resort, BC",CAN,Canada,FIS,Slopestyle,3,31.70
5,Xu Lyra,Female,14-01-2024,Big White Ski Resort (CAN),CAN,Canada,FIS,Slopestyle,2,39.00
6,Xu Lyra,Female,13-01-2024,Big White Ski Resort (CAN),CAN,Canada,FIS,Slopestyle,5,7.80
7,Xu Lyra,Female,06-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,3,30.90
8,Xu Lyra,Female,05-01-2024,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,3,29.90
9,Xu Lyra,Female,21-03-2023,Winsport Calgary,CAN,Canada,National Junior Championships,Slopestyle,15,5.90
10,Xu Lyra,Female,08-01-2023,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,4,24.80
11,Xu Lyra,Female,07-01-2023,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,4,24.80
12,Xu Lyra,Female,13-03-2022,BC Snowboard,CAN,Canada,FIS,Slopestyle,6,0.10
13,Xu Lyra,Female,12-03-2022,BC Snowboard,CAN,Canada,FIS,Slopestyle,6,0.10
14,Xu Lyra,Female,09-01-2022,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,6,6.00
15,Xu Lyra,Female,08-01-2022,"Whistler Blackcomb, BC",CAN,Canada,FIS,Slopestyle,6,6.00
