,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Caiolo Fiona,Female,15-03-2025,Lenk,SUI,France,European Cup,Snowboard Cross,10,67.60
1,Caiolo Fiona,Female,13-03-2025,Lenk,SUI,France,European Cup,Snowboard Cross,7,93.60
2,Caiolo Fiona,Female,28-02-2025,Passo San Pellegrino,ITA,France,European Cup,Snowboard Cross,15,41.60
3,Caiolo Fiona,Female,27-02-2025,Passo San Pellegrino,ITA,France,European Cup,Snowboard Cross,6,104.00
4,Caiolo Fiona,Female,23-02-2025,Colere,ITA,France,FIS,Snowboard Cross,6,88.00
5,Caiolo Fiona,Female,22-02-2025,Colere,ITA,France,FIS,Snowboard Cross,13,44.00
6,Caiolo Fiona,Female,30-11-2024,Pitztal,AUT,France,Junior,Snowboard Cross,DNS,
7,Caiolo Fiona,Female,30-11-2024,Pitztal,AUT,France,Qualification,Snowboard Cross,DNS,
8,Caiolo Fiona,Female,27-11-2024,Pitztal,AUT,France,European Cup,Snowboard Cross,18,46.80
9,Caiolo Fiona,Female,27-11-2024,Pitztal,AUT,France,Qualification,Snowboard Cross,18,
10,Caiolo Fiona,Female,20-01-2024,Montafon,AUT,France,National Championships,Snowboard Cross,8,92.80
11,Caiolo Fiona,Female,17-12-2023,Reiteralm,AUT,France,Junior,Snowboard Cross,15,16.00
12,Caiolo Fiona,Female,09-12-2023,Pitztal,AUT,France,Junior,Snowboard Cross,13,30.00
13,Caiolo Fiona,Female,13-04-2022,Les Deux Alpes,FRA,France,National Championships,Slopestyle,8,11.30
