,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Zashova Branimira,Female,06-04-2025,Bansko,BUL,Bulgaria,National Championships,Parallel Slalom,DSQ,
1,Zashova Branimira,Female,05-04-2025,Bansko,BUL,Bulgaria,National Championships,Parallel Giant Slalom,20,24.20
2,Zashova Branimira,Female,22-01-2025,Bansko,BUL,Bulgaria,European Cup,Parallel Giant Slalom,34,7.92
3,Zashova Branimira,Female,21-01-2025,Bansko,BUL,Bulgaria,European Cup,Parallel Giant Slalom,43,
4,Zashova Branimira,Female,06-04-2024,Pitztal,AUT,Bulgaria,Junior,Snowboard Cross,4,
5,Zashova Branimira,Female,04-04-2024,Bansko,BUL,Bulgaria,National Championships,Parallel Giant Slalom,DNS,
6,Zashova Branimira,Female,04-02-2024,Colere,ITA,Bulgaria,Junior,Snowboard Cross,10,13.00
7,Zashova Branimira,Female,03-02-2024,Colere,ITA,Bulgaria,Junior,Snowboard Cross,11,
8,Zashova Branimira,Female,24-01-2024,Pamporovo,BUL,Bulgaria,European Cup,Parallel Slalom,19,34.80
9,Zashova Branimira,Female,23-01-2024,Pamporovo,BUL,Bulgaria,European Cup,Parallel Slalom,DSQ,
10,Zashova Branimira,Female,09-12-2023,Pitztal,AUT,Bulgaria,Junior,Snowboard Cross,DSQ,
11,Zashova Branimira,Female,28-03-2023,Bansko,BUL,Bulgaria,National Championships,Parallel Slalom,11,16.80
12,Zashova Branimira,Female,27-03-2023,Bansko,BUL,Bulgaria,National Championships,Parallel Giant Slalom,15,17.60
