,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Choura Krystof,Male,08-03-2025,Gudauri,GEO,Czechia,World Cup,Snowboard Cross,33,
1,Choura Krystof,Male,07-03-2025,Gudauri,GEO,Czechia,Qualification,Snowboard Cross,33,
2,Choura Krystof,Male,01-03-2025,Erzurum,TUR,Czechia,World Cup,Snowboard Cross,20,110.00
3,Choura Krystof,Male,28-02-2025,Erzurum,TUR,Czechia,Qualification,Snowboard Cross,24,
4,Choura Krystof,Male,15-02-2025,Cortina d'Ampezzo,ITA,Czechia,Qualification,Snowboard Cross,27,
5,Choura Krystof,Male,15-02-2025,Cortina d'Ampezzo,ITA,Czechia,World Cup,Snowboard Cross,24,70.00
6,Choura Krystof,Male,09-02-2025,Dolni Morava,CZE,Czechia,FIS,Snowboard Cross,3,132.00
7,Choura Krystof,Male,08-02-2025,Dolni Morava,CZE,Czechia,National Championships,Snowboard Cross,5,117.00
8,Choura Krystof,Male,02-02-2025,Beidahu,CHN,Czechia,World Cup,Snowboard Cross,28,40.00
9,Choura Krystof,Male,02-02-2025,Beidahu,CHN,Czechia,Qualification,Snowboard Cross,20,
10,Choura Krystof,Male,01-02-2025,Beidahu,CHN,Czechia,World Cup,Snowboard Cross,20,110.00
11,Choura Krystof,Male,31-01-2025,Beidahu,CHN,Czechia,Qualification,Snowboard Cross,19,
12,Choura Krystof,Male,14-01-2025,Bardonecchia,ITA,Czechia,Universiade,Snowboard Cross,DNS,
13,Choura Krystof,Male,14-12-2024,Cervinia,ITA,Czechia,World Cup,Snowboard Cross,42,17.90
14,Choura Krystof,Male,13-12-2024,Cervinia,ITA,Czechia,Qualification,Snowboard Cross,42,
15,Choura Krystof,Male,27-11-2024,Pitztal,AUT,Czechia,European Cup,Snowboard Cross,21,36.00
16,Choura Krystof,Male,27-11-2024,Pitztal,AUT,Czechia,Qualification,Snowboard Cross,23,
17,Choura Krystof,Male,03-10-2024,Corralco,CHI,Czechia,South American Cup,Snowboard Cross,15,57.60
18,Choura Krystof,Male,03-10-2024,Corralco,CHI,Czechia,South American Cup,Snowboard Cross,15,57.60
19,Choura Krystof,Male,24-03-2024,Mt. St. Anne,CAN,Czechia,World Cup,Snowboard Cross,22,90.00
20,Choura Krystof,Male,23-03-2024,Mt. St. Anne,CAN,Czechia,World Cup,Snowboard Cross,28,40.00
21,Choura Krystof,Male,22-03-2024,Mt. St. Anne,CAN,Czechia,Qualification,Snowboard Cross,17,
22,Choura Krystof,Male,17-03-2024,Montafon,AUT,Czechia,World Cup,Snowboard Cross,21,100.00
23,Choura Krystof,Male,16-03-2024,Montafon,AUT,Czechia,World Cup,Snowboard Cross,31,28.00
24,Choura Krystof,Male,15-03-2024,Montafon,AUT,Czechia,Qualification,Snowboard Cross,31,
25,Choura Krystof,Male,09-03-2024,Cortina d'Ampezzo,ITA,Czechia,World Cup,Snowboard Cross,30,32.00
26,Choura Krystof,Male,08-03-2024,Cortina d'Ampezzo,ITA,Czechia,Qualification,Snowboard Cross,28,
27,Choura Krystof,Male,03-03-2024,Sierra Nevada,ESP,Czechia,World Cup,Snowboard Cross,25,60.00
28,Choura Krystof,Male,02-03-2024,Sierra Nevada,ESP,Czechia,World Cup,Snowboard Cross,22,90.00
