,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Anga Laura,Female,05-10-2024,SnowWorld Landgraaf,NED,Estonia,FIS,Rail Event,1,50.00
1,Anga Laura,Female,04-10-2024,SnowWorld Landgraaf,NED,Estonia,FIS,Slopestyle,3,40.70
2,Anga Laura,Female,03-10-2024,SnowWorld Landgraaf,NED,Estonia,FIS,Slopestyle,4,33.90
3,Anga Laura,Female,06-04-2024,Kasurila,FIN,Estonia,FIS,Slopestyle,DNS,
4,Anga Laura,Female,05-04-2024,Kasurila,FIN,Estonia,Qualification,Slopestyle,2,
5,Anga Laura,Female,04-04-2024,Kasurila,FIN,Estonia,FIS,Big Air,1,10.00
6,Anga Laura,Female,30-03-2024,Livigno/Mottolino,ITA,Estonia,FIS Junior World Championships,Big Air,9,63.40
7,Anga Laura,Female,28-03-2024,Livigno/Mottolino,ITA,Estonia,Qualification,Big Air,9,
8,Anga Laura,Female,26-03-2024,Livigno/Mottolino,ITA,Estonia,FIS Junior World Championships,Slopestyle,20,13.80
9,Anga Laura,Female,24-03-2024,Livigno/Mottolino,ITA,Estonia,Qualification,Slopestyle,20,
10,Anga Laura,Female,15-03-2024,Laax,SUI,Estonia,Junior,Slopestyle,3,32.60
11,Anga Laura,Female,28-01-2024,Gangwon/Welli Hilli,KOR,Estonia,Youth Olympic Winter Games,Big Air,13,20.80
12,Anga Laura,Female,27-01-2024,Gangwon/Welli Hilli,KOR,Estonia,Qualification,Big Air,13,
13,Anga Laura,Female,24-01-2024,Gangwon/Welli Hilli,KOR,Estonia,Youth Olympic Winter Games,Slopestyle,13,20.80
14,Anga Laura,Female,04-01-2024,Font Romeu,FRA,Estonia,European Cup Premium,Slopestyle,14,7.90
15,Anga Laura,Female,04-09-2023,Cardrona,NZL,Estonia,FIS Junior World Championships,Big Air,14,38.10
16,Anga Laura,Female,02-09-2023,Cardrona,NZL,Estonia,Qualification,Big Air,8,
17,Anga Laura,Female,30-08-2023,Cardrona,NZL,Estonia,FIS Junior World Championships,Slopestyle,18,34.30
18,Anga Laura,Female,28-08-2023,Cardrona,NZL,Estonia,Qualification,Slopestyle,7,
19,Anga Laura,Female,17-01-2023,Livigno,ITA,Estonia,Junior,Slopestyle,4,27.10
