,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Berggren Harry,Male,13-04-2025,Klaeppen,SWE,Sweden,National Championships,Big Air,DNS,
1,Berggren Harry,Male,11-04-2025,Klaeppen,SWE,Sweden,National Championships,Slopestyle,5,47.40
2,Berggren Harry,Male,03-04-2025,Kitzsteinhorn,AUT,Sweden,European Cup,Big Air,21,63.30
3,Berggren Harry,Male,01-04-2025,Kitzsteinhorn,AUT,Sweden,European Cup,Rail Event,27,14.30
4,Berggren Harry,Male,22-03-2025,St. Anton,AUT,Sweden,FIS,Slopestyle,6,33.20
5,Berggren Harry,Male,21-03-2025,St. Anton,AUT,Sweden,European Cup,Big Air,16,29.00
6,Berggren Harry,Male,15-02-2025,Bakuriani,GEO,Sweden,European Youth Olympic Festival,Big Air,24,2.80
7,Berggren Harry,Male,14-02-2025,Bakuriani,GEO,Sweden,Qualification,Big Air,24,
8,Berggren Harry,Male,12-02-2025,Bakuriani,GEO,Sweden,European Youth Olympic Festival,Slopestyle,16,12.10
9,Berggren Harry,Male,30-03-2024,Livigno/Mottolino,ITA,Sweden,FIS Junior World Championships,Big Air,48,12.30
10,Berggren Harry,Male,28-03-2024,Livigno/Mottolino,ITA,Sweden,Qualification,Big Air,17,
11,Berggren Harry,Male,26-03-2024,Livigno/Mottolino,ITA,Sweden,Qualification,Slopestyle,5,
12,Berggren Harry,Male,26-03-2024,Livigno/Mottolino,ITA,Sweden,FIS Junior World Championships,Slopestyle,9,82.60
13,Berggren Harry,Male,17-01-2024,Livigno,ITA,Sweden,Junior,Slopestyle,10,16.10
