,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Kudo Sora,Male,02-03-2025,Gujo,JPN,Japan,National Championships,Halfpipe,16,55.00
1,Kudo Sora,Male,17-03-2024,Spporo,JPN,Japan,National Championships,Halfpipe,10,83.50
2,Kudo Sora,Male,10-03-2024,Sapporo,JPN,Japan,FIS,Halfpipe,19,15.40
3,Kudo Sora,Male,18-02-2024,Sapporo,JPN,Japan,FIS,Halfpipe,13,30.10
4,Kudo Sora,Male,19-03-2023,Ajigasawa,JPN,Japan,National Championships,Halfpipe,23,34.80
5,Kudo Sora,Male,12-03-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,14,20.00
6,Kudo Sora,Male,19-02-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,16,21.10
7,Kudo Sora,Male,21-03-2022,Ajigasawa,JPN,Japan,National Championships,Halfpipe,38,2.20
8,Kudo Sora,Male,13-03-2022,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,22,2.40
9,Kudo Sora,Male,14-04-2021,Sapporo,JPN,Japan,National Championships,Halfpipe,26,11.44
10,Kudo Sora,Male,14-03-2021,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,19,5.43
11,Kudo Sora,Male,23-02-2021,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,19,3.05
12,Kudo Sora,Male,26-01-2020,Niseko,JPN,Japan,Asian Cup,Slopestyle,46,
13,Kudo Sora,Male,25-01-2020,Niseko,JPN,Japan,Asian Cup,Slopestyle,45,2.72
