,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Matthe Jasper,Male,05-02-2025,Steamboat Ski and Resort / Mount Werner,USA,Canada,FIS,Snowboard Cross,16,13.50
1,Matthe Jasper,Male,04-02-2025,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,17,22.40
2,Matthe Jasper,Male,03-02-2025,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,11,38.40
3,Matthe Jasper,Male,05-01-2025,Sun Peaks,CAN,Canada,Nor-Am Cup,Snowboard Cross,9,46.40
4,Matthe Jasper,Male,04-01-2025,Sun Peaks,CAN,Canada,Nor-Am Cup,Snowboard Cross,3,96.00
5,Matthe Jasper,Male,18-08-2024,Mt Hotham,AUS,Canada,Australian New Zealand Cup,Snowboard Cross,22,32.40
6,Matthe Jasper,Male,17-08-2024,Mt Hotham,AUS,Canada,Australian New Zealand Cup,Snowboard Cross,21,36.00
7,Matthe Jasper,Male,15-08-2024,Mt Hotham,AUS,Canada,Australian New Zealand Cup,Snowboard Cross,23,28.80
8,Matthe Jasper,Male,29-03-2024,Mt St. Anne,CAN,Canada,Nor-Am Cup,Snowboard Cross,20,22.00
9,Matthe Jasper,Male,28-03-2024,Mt St. Anne,CAN,Canada,Nor-Am Cup,Snowboard Cross,25,13.20
10,Matthe Jasper,Male,17-03-2024,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,17,22.40
11,Matthe Jasper,Male,16-03-2024,Steamboat Ski and Resort / Mount Werner,USA,Canada,Nor-Am Cup,Snowboard Cross,19,19.20
12,Matthe Jasper,Male,01-03-2024,Sunday River Resort,USA,Canada,FIS,Snowboard Cross,7,18.00
13,Matthe Jasper,Male,28-02-2024,Sunday River Resort,USA,Canada,Nor-Am Cup,Snowboard Cross,19,19.20
14,Matthe Jasper,Male,27-02-2024,Sunday River Resort,USA,Canada,Nor-Am Cup,Snowboard Cross,17,22.40
15,Matthe Jasper,Male,23-02-2024,Gore Mountain Ski Area,USA,Canada,FIS,Snowboard Cross,9,14.50
16,Matthe Jasper,Male,22-02-2024,Gore Mountain Ski Area,USA,Canada,Nor-Am Cup,Snowboard Cross,19,24.00
17,Matthe Jasper,Male,21-02-2024,Gore Mountain Ski Area,USA,Canada,Nor-Am Cup,Snowboard Cross,19,24.00
18,Matthe Jasper,Male,03-09-2023,Corralco (CHI),BRA,Canada,South American Cup,Snowboard Cross,7,57.60
19,Matthe Jasper,Male,03-09-2023,Corralco (CHI),BRA,Canada,South American Cup,Snowboard Cross,6,64.00
20,Matthe Jasper,Male,20-03-2023,Mt. Orignal,CAN,Canada,Nor-Am Cup,Snowboard Cross,19,19.20
21,Matthe Jasper,Male,16-03-2023,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,17,22.40
22,Matthe Jasper,Male,15-03-2023,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,22,14.40
23,Matthe Jasper,Male,02-03-2023,Sunday River Resort,USA,Canada,Nor-Am Cup,Snowboard Cross,9,46.40
24,Matthe Jasper,Male,01-03-2023,Sunday River Resort,USA,Canada,Nor-Am Cup,Snowboard Cross,15,25.60
25,Matthe Jasper,Male,12-02-2023,Big White Ski Resort,CAN,Canada,FIS,Snowboard Cross,2,40.00
26,Matthe Jasper,Male,11-02-2023,Big White Ski Resort,CAN,Canada,FIS,Snowboard Cross,3,30.00
27,Matthe Jasper,Male,08-02-2023,Gore Mountain Ski Area,USA,Canada,Nor-Am Cup,Snowboard Cross,19,19.20
28,Matthe Jasper,Male,07-02-2023,Gore Mountain Ski Area,USA,Canada,Nor-Am Cup,Snowboard Cross,38,3.06
29,Matthe Jasper,Male,26-01-2023,Big White Ski Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,32,4.16
30,Matthe Jasper,Male,25-01-2023,Big White Ski Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,12,35.20
31,Matthe Jasper,Male,12-01-2023,Sunshine Village,CAN,Canada,Nor-Am Cup,Snowboard Cross,30,11.52
32,Matthe Jasper,Male,11-01-2023,Sunshine Village,CAN,Canada,Nor-Am Cup,Snowboard Cross,33,8.64
33,Matthe Jasper,Male,25-11-2022,Pitztal,AUT,Canada,FIS,Snowboard Cross,65,2.42
34,Matthe Jasper,Male,19-03-2022,Mt. Orignal,CAN,Canada,National Junior Championships,Snowboard Cross,30,4.48
35,Matthe Jasper,Male,18-03-2022,Mt. Orignal,CAN,Canada,Nor-Am Cup,Snowboard Cross,29,5.76
36,Matthe Jasper,Male,06-03-2022,BC Snowboard,CAN,Canada,FIS,Snowboard Cross,4,35.00
37,Matthe Jasper,Male,05-03-2022,BC Snowboard,CAN,Canada,FIS,Snowboard Cross,8,22.40
38,Matthe Jasper,Male,18-02-2022,Big White Ski Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,33,4.32
39,Matthe Jasper,Male,17-02-2022,Big White Ski Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,38,3.44
40,Matthe Jasper,Male,13-01-2022,Sunshine Village,CAN,Canada,Nor-Am Cup,Snowboard Cross,14,28.80
41,Matthe Jasper,Male,12-01-2022,Sunshine Village,CAN,Canada,Nor-Am Cup,Snowboard Cross,19,19.20
42,Matthe Jasper,Male,12-03-2021,Lenk,SUI,Canada,European Cup,Snowboard Cross,DNF,
43,Matthe Jasper,Male,07-03-2021,Montafon/Gargellen,AUT,Canada,European Cup,Snowboard Cross,25,10.80
44,Matthe Jasper,Male,06-03-2021,Montafon/Gargellen,AUT,Canada,European Cup,Snowboard Cross,49,2.84
45,Matthe Jasper,Male,28-02-2021,Reiteralm,AUT,Canada,European Cup,Snowboard Cross,57,
46,Matthe Jasper,Male,27-02-2021,Reiteralm,AUT,Canada,European Cup,Snowboard Cross,56,
47,Matthe Jasper,Male,12-03-2020,Mont Orignal,CAN,Canada,Nor-Am Cup,Snowboard Cross,37,3.88
48,Matthe Jasper,Male,06-03-2020,Beaver Valley,CAN,Canada,Nor-Am Cup,Snowboard Cross,43,2.82
49,Matthe Jasper,Male,05-03-2020,Beaver Valley,CAN,Canada,Nor-Am Cup,Snowboard Cross,45,2.72
50,Matthe Jasper,Male,23-02-2020,Big White Ski Resort,CAN,Canada,FIS,Snowboard Cross,7,18.00
51,Matthe Jasper,Male,22-02-2020,Big White Ski Resort,CAN,Canada,FIS,Snowboard Cross,3,30.00
52,Matthe Jasper,Male,31-01-2020,Big White Ski Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,48,5.80
53,Matthe Jasper,Male,30-01-2020,Big White Ski Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,57,4.82
54,Matthe Jasper,Male,28-03-2019,Big White Ski Resort,CAN,Canada,National Junior Championships,Snowboard Cross,25,5.40
55,Matthe Jasper,Male,27-03-2019,Big White Ski Resort,CAN,Canada,Nor-Am Cup,Snowboard Cross,21,22.00
56,Matthe Jasper,Male,23-03-2019,Big White Ski Resort,CAN,Canada,FIS,Snowboard Cross,18,9.10
57,Matthe Jasper,Male,22-03-2019,Big White Ski Resort,CAN,Canada,FIS,Snowboard Cross,9,20.30
58,Matthe Jasper,Male,27-01-2019,Big White Ski Resort,CAN,Canada,FIS,Snowboard Cross,2,40.00
59,Matthe Jasper,Male,26-01-2019,Big White Ski Resort,CAN,Canada,FIS,Snowboard Cross,3,30.00
60,Matthe Jasper,Male,09-01-2019,"Panorama, BC",CAN,Canada,Nor-Am Cup,Snowboard Cross,43,6.34
61,Matthe Jasper,Male,08-01-2019,"Panorama, BC",CAN,Canada,Nor-Am Cup,Snowboard Cross,54,
62,Matthe Jasper,Male,18-03-2018,Big White Ski Resort,CAN,Canada,FIS,Snowboard Cross,12,15.40
63,Matthe Jasper,Male,17-03-2018,Big White Ski Resort,CAN,Canada,FIS,Snowboard Cross,16,13.50
64,Matthe Jasper,Male,04-03-2017,Big White Ski Resort,CAN,Canada,FIS,Slopestyle,24,
