,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Neal Kaylie,Female,02-04-2025,"Copper Mountain, CO",USA,United States Of America,National Championships,Halfpipe,3,22.20
1,Neal Kaylie,Female,19-03-2025,"Mammoth Mountain, CA",USA,United States Of America,Nor-Am Cup,Halfpipe,4,75.70
2,Neal Kaylie,Female,23-02-2025,Winsport Calgary,CAN,United States Of America,Nor-Am Cup Premium,Halfpipe,7,52.10
3,Neal Kaylie,Female,11-02-2025,Aspen / Highlands,USA,United States Of America,Nor-Am Cup Premium,Halfpipe,6,59.40
4,Neal Kaylie,Female,01-02-2025,Aspen,USA,United States Of America,World Cup,Halfpipe,29,38.70
5,Neal Kaylie,Female,30-01-2025,Aspen,USA,United States Of America,Qualification,Halfpipe,29,
6,Neal Kaylie,Female,12-01-2025,"Copper Mountain, CO",USA,United States Of America,Nor-Am Cup,Halfpipe,16,4.60
7,Neal Kaylie,Female,09-01-2025,"Copper Mountain, CO",USA,United States Of America,FIS,Halfpipe,10,22.10
8,Neal Kaylie,Female,20-12-2024,Copper,USA,United States Of America,World Cup,Halfpipe,28,58.20
9,Neal Kaylie,Female,18-12-2024,Copper,USA,United States Of America,Qualification,Halfpipe,14,
10,Neal Kaylie,Female,03-04-2024,"Copper Mountain, CO",USA,United States Of America,National Championships,Halfpipe,6,21.40
11,Neal Kaylie,Female,18-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Halfpipe,13,31.40
12,Neal Kaylie,Female,18-03-2024,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup Premium,Halfpipe,11,29.50
13,Neal Kaylie,Female,03-02-2024,Mammoth Mountain,USA,United States Of America,World Cup,Halfpipe,20,0.60
14,Neal Kaylie,Female,30-01-2024,Mammoth Mountain,USA,United States Of America,Qualification,Halfpipe,20,
15,Neal Kaylie,Female,25-01-2024,Copper Mountain,USA,United States Of America,Nor-Am Cup,Halfpipe,9,27.50
16,Neal Kaylie,Female,10-01-2024,"Copper Mountain, CO",USA,United States Of America,FIS,Halfpipe,6,18.40
17,Neal Kaylie,Female,05-04-2023,Copper Mountain Resort,USA,United States Of America,National Championships,Halfpipe,10,6.00
18,Neal Kaylie,Female,29-03-2023,Copper Mountain,USA,United States Of America,Nor-Am Cup,Halfpipe,5,54.60
19,Neal Kaylie,Female,09-02-2023,"Aspen Snowmass, CO",USA,United States Of America,Nor-Am Cup,Halfpipe,10,20.30
20,Neal Kaylie,Female,04-02-2023,Mammoth Mountain,USA,United States Of America,World Cup,Halfpipe,21,13.70
21,Neal Kaylie,Female,02-02-2023,Mammoth Mountain,USA,United States Of America,Qualification,Halfpipe,21,
22,Neal Kaylie,Female,08-03-2022,Leysin,SUI,United States Of America,FIS Junior World Championships,Halfpipe,20,0.20
23,Neal Kaylie,Female,28-02-2022,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Halfpipe,10,21.80
24,Neal Kaylie,Female,27-02-2022,Copper Mountain Resort,USA,United States Of America,Nor-Am Cup,Halfpipe,7,38.30
25,Neal Kaylie,Female,14-02-2022,Aspen / Buttermilk,USA,United States Of America,Nor-Am Cup,Halfpipe,6,29.60
26,Neal Kaylie,Female,28-01-2022,Mammoth Mountain Ski Resort,USA,United States Of America,Nor-Am Cup,Halfpipe,5,48.30
27,Neal Kaylie,Female,05-03-2021,Copper Mountain,USA,United States Of America,National Championships,Halfpipe,10,68.63
28,Neal Kaylie,Female,25-02-2021,Aspen Mountain Ski Area,USA,United States Of America,Open,Halfpipe,12,56.16
29,Neal Kaylie,Female,28-01-2021,Park City,USA,United States Of America,FIS,Halfpipe,3,38.56
30,Neal Kaylie,Female,07-03-2020,Spirit Mountain Recreation Area,USA,United States Of America,FIS,Halfpipe,1,
31,Neal Kaylie,Female,13-02-2020,Mammoth Mountain Ski Resortt,USA,United States Of America,FIS,Halfpipe,4,25.00
32,Neal Kaylie,Female,06-12-2019,Copper Mountain Resort,USA,United States Of America,FIS,Halfpipe,13,30.00
