,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Noerl Martin,Male,29-03-2025,Engadin,SUI,Germany,World Championships,Snowboard Cross Team,7,
1,Noerl Martin,Male,28-03-2025,Engadin,SUI,Germany,World Championships,Snowboard Cross,14,180.00
2,Noerl Martin,Male,27-03-2025,Engadin,SUI,Germany,Qualification,Snowboard Cross,15,
3,Noerl Martin,Male,21-03-2025,Montafon,AUT,Germany,World Cup,Snowboard Cross,17,140.00
4,Noerl Martin,Male,20-03-2025,Montafon,AUT,Germany,Qualification,Snowboard Cross,10,
5,Noerl Martin,Male,09-03-2025,Gudauri,GEO,Germany,World Cup,Snowboard Cross,13,200.00
6,Noerl Martin,Male,08-03-2025,Gudauri,GEO,Germany,World Cup,Snowboard Cross,14,180.00
7,Noerl Martin,Male,07-03-2025,Gudauri,GEO,Germany,Qualification,Snowboard Cross,10,
8,Noerl Martin,Male,01-03-2025,Erzurum,TUR,Germany,World Cup,Snowboard Cross,6,400.00
9,Noerl Martin,Male,28-02-2025,Erzurum,TUR,Germany,Qualification,Snowboard Cross,23,
10,Noerl Martin,Male,15-02-2025,Cortina d'Ampezzo,ITA,Germany,Qualification,Snowboard Cross,26,
11,Noerl Martin,Male,15-02-2025,Cortina d'Ampezzo,ITA,Germany,World Cup,Snowboard Cross,16,150.00
12,Noerl Martin,Male,02-02-2025,Beidahu,CHN,Germany,World Cup,Snowboard Cross,19,120.00
13,Noerl Martin,Male,02-02-2025,Beidahu,CHN,Germany,Qualification,Snowboard Cross,16,
14,Noerl Martin,Male,01-02-2025,Beidahu,CHN,Germany,World Cup,Snowboard Cross,17,140.00
15,Noerl Martin,Male,31-01-2025,Beidahu,CHN,Germany,Qualification,Snowboard Cross,4,
16,Noerl Martin,Male,14-12-2024,Cervinia,ITA,Germany,World Cup,Snowboard Cross,15,160.00
17,Noerl Martin,Male,13-12-2024,Cervinia,ITA,Germany,Qualification,Snowboard Cross,19,
18,Noerl Martin,Male,27-11-2024,Pitztal,AUT,Germany,European Cup,Snowboard Cross,17,50.40
19,Noerl Martin,Male,27-11-2024,Pitztal,AUT,Germany,Qualification,Snowboard Cross,6,
20,Noerl Martin,Male,03-12-2023,Les Deux Alpes,FRA,Germany,Qualification,Snowboard Cross,9,
21,Noerl Martin,Male,03-12-2023,Les Deux Alpes,FRA,Germany,World Cup,Snowboard Cross,10,260.00
22,Noerl Martin,Male,02-12-2023,Les Deux Alpes,FRA,Germany,World Cup,Snowboard Cross Team,7,
23,Noerl Martin,Male,26-03-2023,Mt. St. Anne,CAN,Germany,World Cup,Snowboard Cross,1,1000.00
24,Noerl Martin,Male,25-03-2023,Mt. St. Anne,CAN,Germany,World Cup,Snowboard Cross,7,360.00
25,Noerl Martin,Male,24-03-2023,Mt. St. Anne,CAN,Germany,Qualification,Snowboard Cross,5,
26,Noerl Martin,Male,16-03-2023,Veysonnaz,SUI,Germany,World Cup,Snowboard Cross,1,1000.00
27,Noerl Martin,Male,15-03-2023,Veysonnaz,SUI,Germany,Qualification,Snowboard Cross,2,
28,Noerl Martin,Male,12-03-2023,Sierra Nevada,ESP,Germany,World Cup,Snowboard Cross,33,24.00
29,Noerl Martin,Male,11-03-2023,Sierra Nevada,ESP,Germany,World Cup,Snowboard Cross,13,200.00
30,Noerl Martin,Male,02-03-2023,Bakuriani,GEO,Germany,World Championships,Snowboard Cross Team,9,
31,Noerl Martin,Male,01-03-2023,Bakuriani,GEO,Germany,World Championships,Snowboard Cross,2,800.00
32,Noerl Martin,Male,04-02-2023,Cortina d'Ampezzo,ITA,Germany,World Cup,Snowboard Cross,17,140.00
33,Noerl Martin,Male,03-02-2023,Cortina d'Ampezzo,ITA,Germany,Qualification,Snowboard Cross,6,
34,Noerl Martin,Male,15-01-2023,Reiteralm,AUT,Germany,European Cup,Snowboard Cross,6,144.00
35,Noerl Martin,Male,14-01-2023,Reiteralm,AUT,Germany,European Cup,Snowboard Cross,3,216.00
36,Noerl Martin,Male,17-12-2022,Cervinia,ITA,Germany,World Cup,Snowboard Cross,2,800.00
37,Noerl Martin,Male,16-12-2022,Cervinia,ITA,Germany,World Cup,Snowboard Cross,3,600.00
38,Noerl Martin,Male,15-12-2022,Cervinia,ITA,Germany,Qualification,Snowboard Cross,5,
39,Noerl Martin,Male,04-12-2022,Les Deux Alpes,FRA,Germany,World Cup,Snowboard Cross,1,1000.00
40,Noerl Martin,Male,02-12-2022,Les Deux Alpes,FRA,Germany,Qualification,Snowboard Cross,1,
41,Noerl Martin,Male,24-11-2022,Pitztal,AUT,Germany,European Cup,Snowboard Cross,1,240.00
42,Noerl Martin,Male,23-11-2022,Pitztal,AUT,Germany,Qualification,Snowboard Cross,1,
43,Noerl Martin,Male,20-03-2022,Veysonnaz,SUI,Germany,World Cup,Snowboard Cross,9,290.00
44,Noerl Martin,Male,12-03-2022,Reiteralm,AUT,Germany,World Cup,Snowboard Cross,5,450.00
45,Noerl Martin,Male,10-03-2022,Reiteralm,AUT,Germany,Qualification,Snowboard Cross,4,
46,Noerl Martin,Male,03-03-2022,Pitztal,AUT,Germany,European Cup,Snowboard Cross,1,360.00
47,Noerl Martin,Male,02-03-2022,Pitztal,AUT,Germany,European Cup,Snowboard Cross,1,360.00
48,Noerl Martin,Male,27-02-2022,Grasgehren,GER,Germany,European Cup,Snowboard Cross,1,360.00
49,Noerl Martin,Male,26-02-2022,Grasgehren,GER,Germany,European Cup,Snowboard Cross,1,360.00
50,Noerl Martin,Male,12-02-2022,Beijing,CHN,Germany,Olympic Winter Games,Snowboard Cross Team,5,
51,Noerl Martin,Male,10-02-2022,Beijing,CHN,Germany,Qualification,Snowboard Cross,5,
52,Noerl Martin,Male,10-02-2022,Beijing,CHN,Germany,Olympic Winter Games,Snowboard Cross,9,290.00
53,Noerl Martin,Male,29-01-2022,Cortina d'Ampezzo,ITA,Germany,Qualification,Snowboard Cross,4,
54,Noerl Martin,Male,29-01-2022,Cortina d'Ampezzo,ITA,Germany,World Cup,Snowboard Cross,1,1000.00
55,Noerl Martin,Male,09-01-2022,Krasnoyarsk,RUS,Germany,World Cup,Snowboard Cross,1,1000.00
56,Noerl Martin,Male,08-01-2022,Krasnoyarsk,RUS,Germany,World Cup,Snowboard Cross,1,1000.00
57,Noerl Martin,Male,07-01-2022,Krasnoyarsk,RUS,Germany,Qualification,Snowboard Cross,4,
58,Noerl Martin,Male,18-12-2021,Cervinia,ITA,Germany,World Cup,Snowboard Cross,31,28.00
59,Noerl Martin,Male,17-12-2021,Cervinia,ITA,Germany,Qualification,Snowboard Cross,26,
60,Noerl Martin,Male,11-12-2021,Montafon,AUT,Germany,World Cup,Snowboard Cross Team,9,
61,Noerl Martin,Male,10-12-2021,Montafon,AUT,Germany,World Cup,Snowboard Cross,4,500.00
62,Noerl Martin,Male,09-12-2021,Montafon,AUT,Germany,Qualification,Snowboard Cross,7,
63,Noerl Martin,Male,28-11-2021,Secret Garden,CHN,Germany,World Cup,Snowboard Cross,7,360.00
64,Noerl Martin,Male,26-11-2021,Secret Garden,CHN,Germany,Qualification,Snowboard Cross,2,
65,Noerl Martin,Male,29-03-2021,Reiteralm,AUT,Germany,National Championships,Snowboard Cross,2,232.00
