,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Jennings Bailey,Male,16-02-2025,Flumserberg,SUI,Australia,Junior Regional Cup,Snowboard Cross,25,
1,Jennings Bailey,Male,15-02-2025,Flumserberg,SUI,Australia,Junior Regional Cup,Snowboard Cross,11,
2,Jennings Bailey,Male,09-02-2025,Dolni Morava,CZE,Australia,FIS,Snowboard Cross,18,28.60
3,Jennings Bailey,Male,08-02-2025,Dolni Morava,CZE,Australia,National Championships,Snowboard Cross,30,8.32
4,Jennings Bailey,Male,02-02-2025,Reiteralm,AUT,Australia,Junior,Snowboard Cross,16,7.50
5,Jennings Bailey,Male,01-02-2025,Reiteralm,AUT,Australia,Junior,Snowboard Cross,21,5.00
6,Jennings Bailey,Male,25-01-2025,Passo San Pellegrino,ITA,Australia,FIS,Snowboard Cross,26,2.50
7,Jennings Bailey,Male,24-01-2025,Puy St. Vincent,FRA,Australia,European Cup,Snowboard Cross,43,3.17
8,Jennings Bailey,Male,23-01-2025,Puy St. Vincent,FRA,Australia,European Cup,Snowboard Cross,46,3.34
9,Jennings Bailey,Male,19-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,31,
10,Jennings Bailey,Male,18-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,18,20.80
11,Jennings Bailey,Male,17-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,24,14.00
12,Jennings Bailey,Male,16-08-2023,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,10,18.20
13,Jennings Bailey,Male,12-09-2022,Perisher,AUS,Australia,Junior,Snowboard Cross,13,10.00
14,Jennings Bailey,Male,31-07-2022,Thredbo,AUS,Australia,Junior,Snowboard Cross,6,20.00
