,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Baff Josie,Female,02-02-2025,Beidahu,CHN,Australia,Qualification,Snowboard Cross,7,
1,Baff Josie,Female,02-02-2025,Beidahu,CHN,Australia,World Cup,Snowboard Cross,2,800.00
2,Baff Josie,Female,01-02-2025,Beidahu,CHN,Australia,World Cup,Snowboard Cross,5,450.00
3,Baff Josie,Female,31-01-2025,Beidahu,CHN,Australia,Qualification,Snowboard Cross,7,
4,Baff Josie,Female,14-12-2024,Cervinia,ITA,Australia,World Cup,Snowboard Cross,2,800.00
5,Baff Josie,Female,13-12-2024,Cervinia,ITA,Australia,Qualification,Snowboard Cross,6,
6,Baff Josie,Female,27-11-2024,Pitztal,AUT,Australia,Qualification,Snowboard Cross,2,
7,Baff Josie,Female,27-11-2024,Pitztal,AUT,Australia,European Cup,Snowboard Cross,2,288.00
8,Baff Josie,Female,18-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,1,360.00
9,Baff Josie,Female,17-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,4,180.00
10,Baff Josie,Female,15-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,5,162.00
11,Baff Josie,Female,24-03-2024,Mt. St. Anne,CAN,Australia,World Cup,Snowboard Cross,3,600.00
12,Baff Josie,Female,23-03-2024,Mt. St. Anne,CAN,Australia,World Cup,Snowboard Cross,4,500.00
13,Baff Josie,Female,22-03-2024,Mt. St. Anne,CAN,Australia,Qualification,Snowboard Cross,5,
14,Baff Josie,Female,17-03-2024,Montafon,AUT,Australia,World Cup,Snowboard Cross,3,600.00
15,Baff Josie,Female,16-03-2024,Montafon,AUT,Australia,World Cup,Snowboard Cross,3,600.00
16,Baff Josie,Female,15-03-2024,Montafon,AUT,Australia,Qualification,Snowboard Cross,11,
17,Baff Josie,Female,09-03-2024,Cortina d'Ampezzo,ITA,Australia,World Cup,Snowboard Cross,5,450.00
18,Baff Josie,Female,08-03-2024,Cortina d'Ampezzo,ITA,Australia,Qualification,Snowboard Cross,6,
19,Baff Josie,Female,03-03-2024,Sierra Nevada,ESP,Australia,World Cup,Snowboard Cross,2,800.00
20,Baff Josie,Female,02-03-2024,Sierra Nevada,ESP,Australia,World Cup,Snowboard Cross,8,320.00
21,Baff Josie,Female,01-03-2024,Sierra Nevada,ESP,Australia,Qualification,Snowboard Cross,12,
22,Baff Josie,Female,04-02-2024,Gudauri,GEO,Australia,World Cup,Snowboard Cross,6,400.00
23,Baff Josie,Female,03-02-2024,Gudauri,GEO,Australia,World Cup,Snowboard Cross,6,400.00
24,Baff Josie,Female,02-02-2024,Gudauri,GEO,Australia,Qualification,Snowboard Cross,8,
25,Baff Josie,Female,26-01-2024,St. Moritz,SUI,Australia,World Cup,Snowboard Cross,5,450.00
26,Baff Josie,Female,25-01-2024,St. Moritz,SUI,Australia,Qualification,Snowboard Cross,8,
27,Baff Josie,Female,16-12-2023,Cervinia,ITA,Australia,World Cup,Snowboard Cross,3,600.00
28,Baff Josie,Female,03-12-2023,Les Deux Alpes,FRA,Australia,Qualification,Snowboard Cross,10,
29,Baff Josie,Female,03-12-2023,Les Deux Alpes,FRA,Australia,World Cup,Snowboard Cross,7,360.00
30,Baff Josie,Female,02-12-2023,Les Deux Alpes,FRA,Australia,World Cup,Snowboard Cross Team,4,
31,Baff Josie,Female,19-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,1,360.00
32,Baff Josie,Female,18-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,1,240.00
33,Baff Josie,Female,17-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,2,288.00
34,Baff Josie,Female,31-03-2023,Passo San Pellegrino,ITA,Australia,FIS Junior World Championships,Snowboard Cross Team,1,
35,Baff Josie,Female,30-03-2023,Passo San Pellegrino,ITA,Australia,FIS Junior World Championships,Snowboard Cross,2,288.00
36,Baff Josie,Female,26-03-2023,Mt. St. Anne,CAN,Australia,World Cup,Snowboard Cross,1,1000.00
37,Baff Josie,Female,25-03-2023,Mt. St. Anne,CAN,Australia,World Cup,Snowboard Cross,6,400.00
38,Baff Josie,Female,24-03-2023,Mt. St. Anne,CAN,Australia,Qualification,Snowboard Cross,6,
39,Baff Josie,Female,16-03-2023,Veysonnaz,SUI,Australia,World Cup,Snowboard Cross,3,600.00
40,Baff Josie,Female,15-03-2023,Veysonnaz,SUI,Australia,Qualification,Snowboard Cross,7,
41,Baff Josie,Female,12-03-2023,Sierra Nevada,ESP,Australia,World Cup,Snowboard Cross,9,290.00
42,Baff Josie,Female,11-03-2023,Sierra Nevada,ESP,Australia,World Cup,Snowboard Cross,9,290.00
43,Baff Josie,Female,02-03-2023,Bakuriani,GEO,Australia,World Championships,Snowboard Cross Team,9,
44,Baff Josie,Female,01-03-2023,Bakuriani,GEO,Australia,World Championships,Snowboard Cross,2,800.00
45,Baff Josie,Female,04-02-2023,Cortina d'Ampezzo,ITA,Australia,World Cup,Snowboard Cross,9,290.00
46,Baff Josie,Female,03-02-2023,Cortina d'Ampezzo,ITA,Australia,Qualification,Snowboard Cross,5,
47,Baff Josie,Female,15-01-2023,Reiteralm,AUT,Australia,European Cup,Snowboard Cross,6,144.00
48,Baff Josie,Female,14-01-2023,Reiteralm,AUT,Australia,European Cup,Snowboard Cross,9,104.40
49,Baff Josie,Female,17-12-2022,Cervinia,ITA,Australia,World Cup,Snowboard Cross,2,800.00
50,Baff Josie,Female,16-12-2022,Cervinia,ITA,Australia,World Cup,Snowboard Cross,10,260.00
51,Baff Josie,Female,15-12-2022,Cervinia,ITA,Australia,Qualification,Snowboard Cross,6,
52,Baff Josie,Female,04-12-2022,Les Deux Alpes,FRA,Australia,World Cup,Snowboard Cross,1,1000.00
53,Baff Josie,Female,02-12-2022,Les Deux Alpes,FRA,Australia,Qualification,Snowboard Cross,4,
54,Baff Josie,Female,25-11-2022,Pitztal,AUT,Australia,FIS,Snowboard Cross,4,110.00
55,Baff Josie,Female,24-11-2022,Pitztal,AUT,Australia,Qualification,Snowboard Cross,16,
56,Baff Josie,Female,24-11-2022,Pitztal,AUT,Australia,European Cup,Snowboard Cross,16,36.00
57,Baff Josie,Female,03-09-2022,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,1,160.00
58,Baff Josie,Female,02-09-2022,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,1,160.00
59,Baff Josie,Female,01-09-2022,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,1,160.00
60,Baff Josie,Female,20-03-2022,Veysonnaz,SUI,Australia,World Cup,Snowboard Cross,7,360.00
61,Baff Josie,Female,12-03-2022,Reiteralm,AUT,Australia,World Cup,Snowboard Cross,14,180.00
62,Baff Josie,Female,10-03-2022,Reiteralm,AUT,Australia,Qualification,Snowboard Cross,11,
63,Baff Josie,Female,12-02-2022,Beijing,CHN,Australia,Olympic Winter Games,Snowboard Cross Team,13,
64,Baff Josie,Female,09-02-2022,Beijing,CHN,Australia,Qualification,Snowboard Cross,14,
65,Baff Josie,Female,09-02-2022,Beijing,CHN,Australia,Olympic Winter Games,Snowboard Cross,18,130.00
66,Baff Josie,Female,09-01-2022,Krasnoyarsk,RUS,Australia,World Cup,Snowboard Cross,17,140.00
67,Baff Josie,Female,08-01-2022,Krasnoyarsk,RUS,Australia,World Cup,Snowboard Cross,9,290.00
68,Baff Josie,Female,07-01-2022,Krasnoyarsk,RUS,Australia,Qualification,Snowboard Cross,10,
69,Baff Josie,Female,18-12-2021,Cervinia,ITA,Australia,World Cup,Snowboard Cross,24,70.00
70,Baff Josie,Female,17-12-2021,Cervinia,ITA,Australia,Qualification,Snowboard Cross,24,
71,Baff Josie,Female,10-12-2021,Montafon,AUT,Australia,World Cup,Snowboard Cross,9,290.00
72,Baff Josie,Female,09-12-2021,Montafon,AUT,Australia,Qualification,Snowboard Cross,2,
73,Baff Josie,Female,29-03-2021,Reiteralm,AUT,Australia,National Championships,Snowboard Cross,1,180.00
74,Baff Josie,Female,05-03-2021,Bakuriani,GEO,Australia,World Cup,Snowboard Cross,DNS,
75,Baff Josie,Female,04-03-2021,Bakuriani,GEO,Australia,World Cup,Snowboard Cross,15,160.00
76,Baff Josie,Female,03-03-2021,Bakuriani,GEO,Australia,Qualification,Snowboard Cross,15,
77,Baff Josie,Female,20-01-2020,Villars,SUI,Australia,Youth Olympic Winter Games,Snowboard Cross,1,180.00
78,Baff Josie,Female,12-01-2020,Puy St. Vincent,FRA,Australia,European Cup,Snowboard Cross,3,216.00
79,Baff Josie,Female,11-01-2020,Puy St. Vincent,FRA,Australia,European Cup,Snowboard Cross,16,54.00
80,Baff Josie,Female,04-09-2019,Mount Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,4,100.00
81,Baff Josie,Female,03-09-2019,Mount Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,16,30.00
82,Baff Josie,Female,06-08-2019,Mount Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,2,128.00
83,Baff Josie,Female,31-03-2019,"Copper Mountain, CO",USA,Australia,National Championships,Snowboard Cross,5,54.00
84,Baff Josie,Female,28-03-2019,Big White Ski Resort,CAN,Australia,National Junior Championships,Snowboard Cross,1,70.00
85,Baff Josie,Female,27-03-2019,Big White Ski Resort,CAN,Australia,Nor-Am Cup,Snowboard Cross,3,108.00
86,Baff Josie,Female,01-08-2018,Mount Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,2,128.00
87,Baff Josie,Female,24-07-2018,Thredbo,AUS,Australia,Junior,Snowboard Cross,1,70.00
