,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Choi Jiho,Male,28-02-2025,Akan,JPN,Korea,Asian Cup,Parallel Giant Slalom,23,
1,Choi Jiho,Male,27-02-2025,Akan,JPN,Korea,Asian Cup,Parallel Slalom,27,7.20
2,Choi Jiho,Male,26-02-2025,Akan,JPN,Korea,National Junior Championships,Parallel Giant Slalom,19,8.40
3,Choi Jiho,Male,09-01-2025,O2 Resort,KOR,Korea,Asian Cup,Parallel Slalom,11,38.40
4,Choi Jiho,Male,08-01-2025,O2 Resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,29,
5,Choi Jiho,Male,05-04-2024,Bansko,BUL,Korea,National Championships,Parallel Slalom,19,31.20
6,Choi Jiho,Male,04-04-2024,Bansko,BUL,Korea,National Championships,Parallel Giant Slalom,41,
7,Choi Jiho,Male,30-03-2024,Krvavec,SLO,Korea,National Championships,Parallel Giant Slalom,12,63.80
8,Choi Jiho,Male,19-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Slalom,21,20.00
9,Choi Jiho,Male,18-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Parallel Giant Slalom,26,
10,Choi Jiho,Male,13-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Slalom,23,16.00
11,Choi Jiho,Male,12-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Giant Slalom,30,
12,Choi Jiho,Male,05-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Slalom,26,10.00
13,Choi Jiho,Male,04-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,37,
14,Choi Jiho,Male,02-02-2024,High1resort,KOR,Korea,FIS,Parallel Slalom,30,
15,Choi Jiho,Male,01-02-2024,High1resort,KOR,Korea,FIS,Parallel Giant Slalom,31,
