,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Smits Rihards,Male,02-03-2025,Ergli,LAT,Latvia,National Championships,Big Air,3,33.20
1,Smits Rihards,Male,01-03-2025,Ergli,LAT,Latvia,National Championships,Slopestyle,6,17.90
2,Smits Rihards,Male,07-12-2024,Riga,LAT,Latvia,National Championships,Rail Event,6,17.90
3,Smits Rihards,Male,16-03-2024,Munamae Ski Resort,EST,Latvia,National Championships,Big Air,5,0.10
4,Smits Rihards,Male,03-03-2024,Mezezers,LAT,Latvia,National Championships,Big Air,1,10.00
5,Smits Rihards,Male,02-03-2024,Mezezers,LAT,Latvia,National Championships,Slopestyle,1,10.00
6,Smits Rihards,Male,24-02-2024,Grizinkalns,LAT,Latvia,FIS,Rail Event,7,
7,Smits Rihards,Male,17-12-2023,Snow Arena,LTU,Latvia,FIS,Rail Event,5,
8,Smits Rihards,Male,16-12-2023,"Snow Arena, Druskininkai",LTU,Latvia,FIS,Rail Event,3,
9,Smits Rihards,Male,05-03-2023,Mezezers,LAT,Latvia,National Championships,Big Air,1,10.00
10,Smits Rihards,Male,04-03-2023,Mezezers,LAT,Latvia,National Championships,Slopestyle,5,2.50
11,Smits Rihards,Male,11-02-2023,"Snow Arena, Druskininkai",LTU,Latvia,FIS,Slopestyle,4,3.30
12,Smits Rihards,Male,11-02-2023,"Snow Arena, Druskininkai",LTU,Latvia,National Championships,Slopestyle,3,30.90
13,Smits Rihards,Male,11-02-2023,"Snow Arena, Druskininkai",LTU,Latvia,FIS,Big Air,5,0.10
14,Smits Rihards,Male,11-02-2023,"Snow Arena, Druskininkai",LTU,Latvia,National Championships,Big Air,2,39.00
15,Smits Rihards,Male,05-03-2022,Munakas,EST,Latvia,National Championships,Big Air,2,6.40
