,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Piton Filippo,Male,25-01-2025,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,24,3.50
1,Piton Filippo,Male,24-01-2025,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,41,0.91
2,Piton Filippo,Male,12-01-2025,Lenk,SUI,Italy,Junior Regional Cup,Snowboard Cross,60,1.50
3,Piton Filippo,Male,01-12-2024,Pitztal,AUT,Italy,Junior,Snowboard Cross,60,1.50
4,Piton Filippo,Male,30-11-2024,Pitztal,AUT,Italy,Junior,Snowboard Cross,72,
5,Piton Filippo,Male,30-11-2024,Pitztal,AUT,Italy,Qualification,Snowboard Cross,72,
6,Piton Filippo,Male,30-03-2024,Colere,ITA,Italy,National Championships,Snowboard Cross,37,5.63
7,Piton Filippo,Male,09-03-2024,Colere,ITA,Italy,FIS,Snowboard Cross,24,3.50
8,Piton Filippo,Male,09-02-2024,Funes - Vilnoess,ITA,Italy,National Championships,Parallel Slalom,35,5.80
9,Piton Filippo,Male,08-02-2024,Funes - Vilnoess,ITA,Italy,National Championships,Parallel Giant Slalom,46,
10,Piton Filippo,Male,04-02-2024,Colere,ITA,Italy,Junior,Snowboard Cross,23,4.00
11,Piton Filippo,Male,03-02-2024,Colere,ITA,Italy,Junior,Snowboard Cross,28,
