,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Collomb Lenny,Male,12-04-2025,Corvatsch,SUI,France,European Cup Premium,Big Air,82,
1,Collomb Lenny,Male,10-04-2025,Corvatsch,SUI,France,European Cup Premium,Slopestyle,70,29.30
2,Collomb Lenny,Male,17-03-2025,Vars,FRA,France,National Championships,Big Air,5,
3,Collomb Lenny,Male,16-03-2025,Vars,FRA,France,National Championships,Slopestyle,8,
4,Collomb Lenny,Male,11-03-2025,Laax,SUI,France,European Cup Premium,Slopestyle,11,80.10
5,Collomb Lenny,Male,15-02-2025,Bakuriani,GEO,France,European Youth Olympic Festival,Big Air,12,13.80
6,Collomb Lenny,Male,14-02-2025,Bakuriani,GEO,France,Qualification,Big Air,5,
7,Collomb Lenny,Male,12-02-2025,Bakuriani,GEO,France,European Youth Olympic Festival,Slopestyle,3,55.20
8,Collomb Lenny,Male,11-01-2025,Prato Nevoso,ITA,France,European Cup,Slopestyle,49,11.10
9,Collomb Lenny,Male,06-01-2025,Font Romeu,FRA,France,FIS,Rail Event,12,10.50
10,Collomb Lenny,Male,05-01-2025,Font Romeu,FRA,France,European Cup Premium,Slopestyle,30,21.40
11,Collomb Lenny,Male,07-04-2024,Vars,FRA,France,National Championships,Big Air,9,22.00
12,Collomb Lenny,Male,05-04-2024,Vars,FRA,France,National Championships,Slopestyle,4,101.50
13,Collomb Lenny,Male,25-02-2024,Font Romeu,FRA,France,Junior,Slopestyle,10,12.40
14,Collomb Lenny,Male,05-01-2024,Font Romeu,FRA,France,European Cup,Big Air,35,16.00
15,Collomb Lenny,Male,04-01-2024,Font Romeu,FRA,France,European Cup Premium,Slopestyle,40,28.40
16,Collomb Lenny,Male,03-04-2023,Isola 2000,FRA,France,National Championships,Slopestyle,9,24.40
17,Collomb Lenny,Male,01-04-2023,Isola 2000,FRA,France,National Championships,Big Air,20,3.30
18,Collomb Lenny,Male,28-03-2023,Leysin,SUI,France,FIS,Slopestyle,14,28.60
19,Collomb Lenny,Male,08-02-2023,Font Romeu,FRA,France,Junior,Slopestyle,25,5.00
20,Collomb Lenny,Male,04-12-2022,Glacier 3000,SUI,France,Junior,Slopestyle,12,5.20
