,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Cesare Tommaso,Male,31-03-2025,Alpe di Siusi/Seiseralm,ITA,Italy,National Championships,Slopestyle,13,32.50
1,Cesare Tommaso,Male,30-03-2025,Alpe di Siusi/Seiseralm,ITA,Italy,National Championships,Big Air,DNS,
2,Cesare Tommaso,Male,17-03-2025,Vars,FRA,Italy,National Championships,Big Air,4,27.10
3,Cesare Tommaso,Male,07-03-2025,LAAX Kids Open,SUI,Italy,Junior,Slopestyle,3,41.30
4,Cesare Tommaso,Male,15-02-2025,Bakuriani,GEO,Italy,European Youth Olympic Festival,Big Air,26,1.40
5,Cesare Tommaso,Male,14-02-2025,Bakuriani,GEO,Italy,Qualification,Big Air,26,
6,Cesare Tommaso,Male,12-02-2025,Bakuriani,GEO,Italy,European Youth Olympic Festival,Slopestyle,8,26.10
7,Cesare Tommaso,Male,11-01-2025,Prato Nevoso,ITA,Italy,European Cup,Slopestyle,6,67.00
8,Cesare Tommaso,Male,06-04-2024,Alpe di Siusi/Seiseralm,ITA,Italy,National Championships,Slopestyle,DNS,
9,Cesare Tommaso,Male,05-04-2024,Alpe di Siusi/Seiseralm,ITA,Italy,National Championships,Big Air,DNS,
10,Cesare Tommaso,Male,30-03-2024,Livigno/Mottolino,ITA,Italy,FIS Junior World Championships,Big Air,30,30.70
11,Cesare Tommaso,Male,28-03-2024,Livigno/Mottolino,ITA,Italy,Qualification,Big Air,12,
12,Cesare Tommaso,Male,26-03-2024,Livigno/Mottolino,ITA,Italy,FIS Junior World Championships,Slopestyle,24,40.30
13,Cesare Tommaso,Male,26-03-2024,Livigno/Mottolino,ITA,Italy,Qualification,Slopestyle,8,
14,Cesare Tommaso,Male,12-03-2024,Laax,SUI,Italy,European Cup Premium,Slopestyle,54,21.60
15,Cesare Tommaso,Male,22-02-2024,Prato Nevoso,ITA,Italy,European Cup,Slopestyle,56,5.50
16,Cesare Tommaso,Male,05-04-2023,Livigno,ITA,Italy,National Championships,Slopestyle,7,35.50
17,Cesare Tommaso,Male,29-11-2022,Glacier 3000,SUI,Italy,FIS,Slopestyle,DNS,
