,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Lee Junghoo,Male,07-02-2025,Jinshanling Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Slalom,13,
1,Lee Junghoo,Male,09-01-2025,O2 Resort,KOR,Korea,Asian Cup,Parallel Slalom,5,72.00
2,Lee Junghoo,Male,08-01-2025,O2 Resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,13,32.00
3,Lee Junghoo,Male,19-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Slalom,16,30.00
4,Lee Junghoo,Male,18-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Parallel Giant Slalom,19,24.00
5,Lee Junghoo,Male,13-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Slalom,22,18.00
6,Lee Junghoo,Male,12-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Giant Slalom,13,40.00
7,Lee Junghoo,Male,05-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Slalom,15,32.00
8,Lee Junghoo,Male,04-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,19,28.80
9,Lee Junghoo,Male,02-02-2024,High1resort,KOR,Korea,FIS,Parallel Slalom,13,44.00
10,Lee Junghoo,Male,01-02-2024,High1resort,KOR,Korea,FIS,Parallel Giant Slalom,20,24.20
11,Lee Junghoo,Male,02-04-2023,Haus im Ennstal,AUT,Korea,National Championships,Parallel Slalom,18,37.70
12,Lee Junghoo,Male,01-04-2023,Haus im Ennstal,AUT,Korea,National Championships,Parallel Giant Slalom,29,10.44
13,Lee Junghoo,Male,30-03-2023,Cortina dAmpezzo,ITA,Korea,National Championships,Parallel Slalom,26,14.50
14,Lee Junghoo,Male,26-03-2023,Villach - Gerlitzen,AUT,Korea,FIS,Parallel Slalom,7,79.20
15,Lee Junghoo,Male,25-03-2023,Villach - Gerlitzen,AUT,Korea,FIS,Parallel Slalom,9,63.80
16,Lee Junghoo,Male,19-03-2023,Ratschings,ITA,Korea,European Cup,Parallel Slalom,34,5.28
17,Lee Junghoo,Male,18-03-2023,Ratschings,ITA,Korea,European Cup,Parallel Slalom,27,8.10
18,Lee Junghoo,Male,03-03-2023,high1 resort,KOR,Korea,Asian Cup,Parallel Slalom,7,129.60
19,Lee Junghoo,Male,02-03-2023,high1 resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,11,86.40
20,Lee Junghoo,Male,07-02-2023,high1 resort,KOR,Korea,FIS,Parallel Slalom,11,52.80
21,Lee Junghoo,Male,06-02-2023,high1 resort,KOR,Korea,FIS,Parallel Giant Slalom,4,110.00
22,Lee Junghoo,Male,06-04-2022,Borovets,BUL,Korea,National Championships,Parallel Slalom,5,90.00
23,Lee Junghoo,Male,05-04-2022,Borovets,BUL,Korea,National Championships,Parallel Giant Slalom,4,100.00
24,Lee Junghoo,Male,01-04-2022,Chiesa in Valmalenco,ITA,Korea,FIS Junior World Championships,Parallel Slalom,21,24.00
25,Lee Junghoo,Male,31-03-2022,Chiesa in Valmalenco,ITA,Korea,FIS Junior World Championships,Parallel Giant Slalom,14,43.20
26,Lee Junghoo,Male,27-03-2022,Villach / Gerlitzen,AUT,Korea,National Championships,Parallel Slalom,13,58.00
27,Lee Junghoo,Male,26-03-2022,Villach / Gerlitzen,AUT,Korea,National Championships,Parallel Giant Slalom,14,52.20
28,Lee Junghoo,Male,20-03-2022,Senales - Schnals,ITA,Korea,Junior,Parallel Slalom,7,36.00
29,Lee Junghoo,Male,19-03-2022,Senales - Schnals,ITA,Korea,Junior,Parallel Slalom,12,22.00
