,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Yamada Ryusei,Male,29-03-2025,Engadin,SUI,Japan,World Championships,Halfpipe,15,
1,Yamada Ryusei,Male,27-03-2025,Engadin,SUI,Japan,Qualification,Halfpipe,5,
2,Yamada Ryusei,Male,02-03-2025,Gujo,JPN,Japan,National Championships,Halfpipe,12,72.80
3,Yamada Ryusei,Male,01-02-2025,Aspen,USA,Japan,World Cup,Halfpipe,3,692.80
4,Yamada Ryusei,Male,30-01-2025,Aspen,USA,Japan,Qualification,Halfpipe,5,
5,Yamada Ryusei,Male,18-01-2025,Laax,SUI,Japan,World Cup,Halfpipe,9,306.10
6,Yamada Ryusei,Male,17-01-2025,Laax,SUI,Japan,Qualification,Halfpipe,5,
7,Yamada Ryusei,Male,20-12-2024,Copper,USA,Japan,World Cup,Halfpipe,10,274.30
8,Yamada Ryusei,Male,18-12-2024,Copper,USA,Japan,Qualification,Halfpipe,4,
9,Yamada Ryusei,Male,08-12-2024,Secret Garden,CHN,Japan,World Cup,Halfpipe,3,690.30
10,Yamada Ryusei,Male,06-12-2024,Secret Garden,CHN,Japan,Qualification,Halfpipe,5,
11,Yamada Ryusei,Male,17-03-2024,Spporo,JPN,Japan,National Championships,Halfpipe,2,264.50
12,Yamada Ryusei,Male,10-03-2024,Sapporo,JPN,Japan,FIS,Halfpipe,8,67.60
13,Yamada Ryusei,Male,18-02-2024,Sapporo,JPN,Japan,FIS,Halfpipe,2,148.40
14,Yamada Ryusei,Male,01-02-2024,Gangwon/Welli Hilli,KOR,Japan,Youth Olympic Winter Games,Halfpipe,3,194.10
15,Yamada Ryusei,Male,20-01-2024,Laax,SUI,Japan,World Cup,Halfpipe,13,220.80
16,Yamada Ryusei,Male,16-12-2023,Copper Mountain,USA,Japan,World Cup,Halfpipe,5,499.00
17,Yamada Ryusei,Male,14-12-2023,Copper Mountain,USA,Japan,Qualification,Halfpipe,4,
18,Yamada Ryusei,Male,08-12-2023,Secret Garden,CHN,Japan,World Cup,Halfpipe,21,62.20
19,Yamada Ryusei,Male,06-12-2023,Secret Garden,CHN,Japan,Qualification,Halfpipe,21,
20,Yamada Ryusei,Male,19-03-2023,Ajigasawa,JPN,Japan,National Championships,Halfpipe,1,320.00
21,Yamada Ryusei,Male,12-03-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,1,130.00
22,Yamada Ryusei,Male,19-02-2023,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,12,33.80
23,Yamada Ryusei,Male,21-01-2023,Laax,SUI,Japan,World Cup,Halfpipe,13,176.10
24,Yamada Ryusei,Male,19-01-2023,Laax,SUI,Japan,Qualification,Halfpipe,13,
25,Yamada Ryusei,Male,16-12-2022,Copper Mountain,USA,Japan,World Cup,Halfpipe,42,0.30
26,Yamada Ryusei,Male,14-12-2022,Copper Mountain,USA,Japan,Qualification,Halfpipe,21,
27,Yamada Ryusei,Male,21-03-2022,Ajigasawa,JPN,Japan,National Championships,Halfpipe,8,107.00
28,Yamada Ryusei,Male,13-03-2022,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,11,14.50
29,Yamada Ryusei,Male,20-02-2022,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,2,90.60
30,Yamada Ryusei,Male,14-04-2021,Sapporo,JPN,Japan,National Championships,Halfpipe,6,134.95
31,Yamada Ryusei,Male,14-03-2021,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,4,40.19
32,Yamada Ryusei,Male,23-02-2021,Sapporo Bankei,JPN,Japan,FIS,Halfpipe,8,15.18
33,Yamada Ryusei,Male,10-02-2020,Pyeongchang,KOR,Japan,Asian Cup,Halfpipe,6,64.00
