,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Jung Seo-yeong,Female,28-02-2025,Akan,JPN,Korea,Asian Cup,Parallel Giant Slalom,13,
1,Jung Seo-yeong,Female,27-02-2025,Akan,JPN,Korea,Asian Cup,Parallel Slalom,12,35.20
2,Jung Seo-yeong,Female,26-02-2025,Akan,JPN,Korea,National Junior Championships,Parallel Giant Slalom,7,32.40
3,Jung Seo-yeong,Female,09-01-2025,O2 Resort,KOR,Korea,Asian Cup,Parallel Slalom,5,72.00
4,Jung Seo-yeong,Female,08-01-2025,O2 Resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,8,51.20
5,Jung Seo-yeong,Female,15-12-2024,Götschen,GER,Korea,European Cup,Parallel Slalom,39,4.51
6,Jung Seo-yeong,Female,14-12-2024,Götschen,GER,Korea,European Cup,Parallel Slalom,27,9.90
7,Jung Seo-yeong,Female,05-04-2024,Bansko,BUL,Korea,National Championships,Parallel Slalom,14,12.60
8,Jung Seo-yeong,Female,04-04-2024,Bansko,BUL,Korea,National Championships,Parallel Giant Slalom,6,28.00
9,Jung Seo-yeong,Female,30-03-2024,Krvavec,SLO,Korea,National Championships,Parallel Giant Slalom,3,132.00
10,Jung Seo-yeong,Female,24-03-2024,Lachtal,AUT,Korea,FIS Junior World Championships,Parallel Slalom Team,16,
11,Jung Seo-yeong,Female,23-03-2024,Lachtal,AUT,Korea,FIS Junior World Championships,Parallel Slalom,35,4.80
12,Jung Seo-yeong,Female,23-03-2024,Lachtal,AUT,Korea,Qualification,Parallel Slalom,35,
13,Jung Seo-yeong,Female,22-03-2024,Lachtal,AUT,Korea,Qualification,Parallel Giant Slalom,34,
14,Jung Seo-yeong,Female,22-03-2024,Lachtal,AUT,Korea,FIS Junior World Championships,Parallel Giant Slalom,34,5.28
15,Jung Seo-yeong,Female,19-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Slalom,DSQ,
16,Jung Seo-yeong,Female,18-03-2024,Wanglong Ski Resrort,CHN,Korea,Asian Cup,Parallel Giant Slalom,14,28.80
17,Jung Seo-yeong,Female,13-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Slalom,13,32.00
18,Jung Seo-yeong,Female,12-03-2024,Cuiyunshan Galaxy Ski Resort,CHN,Korea,Asian Cup,Parallel Giant Slalom,15,25.60
19,Jung Seo-yeong,Female,05-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Slalom,17,22.40
20,Jung Seo-yeong,Female,04-03-2024,High1resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,15,25.60
21,Jung Seo-yeong,Female,02-02-2024,High1resort,KOR,Korea,FIS,Parallel Slalom,17,21.00
22,Jung Seo-yeong,Female,01-02-2024,High1resort,KOR,Korea,FIS,Parallel Giant Slalom,12,33.00
23,Jung Seo-yeong,Female,02-04-2023,Haus im Ennstal,AUT,Korea,National Championships,Parallel Slalom,17,40.60
24,Jung Seo-yeong,Female,01-04-2023,Haus im Ennstal,AUT,Korea,National Championships,Parallel Giant Slalom,15,46.40
25,Jung Seo-yeong,Female,30-03-2023,Cortina dAmpezzo,ITA,Korea,National Championships,Parallel Slalom,22,26.10
26,Jung Seo-yeong,Female,28-03-2023,Bansko,BUL,Korea,National Championships,Parallel Slalom,4,35.00
27,Jung Seo-yeong,Female,27-03-2023,Bansko,BUL,Korea,National Championships,Parallel Giant Slalom,9,31.90
28,Jung Seo-yeong,Female,25-03-2023,Bansko,BUL,Korea,Qualification,Parallel Slalom,34,
29,Jung Seo-yeong,Female,25-03-2023,Bansko,BUL,Korea,FIS Junior World Championships,Parallel Slalom,34,7.92
30,Jung Seo-yeong,Female,24-03-2023,Bansko,BUL,Korea,Qualification,Parallel Giant Slalom,30,
31,Jung Seo-yeong,Female,24-03-2023,Bansko,BUL,Korea,FIS Junior World Championships,Parallel Giant Slalom,30,11.52
32,Jung Seo-yeong,Female,19-03-2023,Ratschings,ITA,Korea,European Cup,Parallel Slalom,42,
33,Jung Seo-yeong,Female,18-03-2023,Ratschings,ITA,Korea,European Cup,Parallel Slalom,41,
34,Jung Seo-yeong,Female,12-03-2023,Davos,SUI,Korea,European Cup,Parallel Slalom,34,
35,Jung Seo-yeong,Female,11-03-2023,Davos,SUI,Korea,European Cup,Parallel Slalom,39,
36,Jung Seo-yeong,Female,03-03-2023,high1 resort,KOR,Korea,Asian Cup,Parallel Slalom,9,46.40
37,Jung Seo-yeong,Female,02-03-2023,high1 resort,KOR,Korea,Asian Cup,Parallel Giant Slalom,10,41.60
38,Jung Seo-yeong,Female,07-02-2023,high1 resort,KOR,Korea,FIS,Parallel Slalom,8,35.20
39,Jung Seo-yeong,Female,03-03-2022,Wellihilli Park,KOR,Korea,National Championships,Parallel Slalom,5,72.00
40,Jung Seo-yeong,Female,02-03-2022,Wellihilli Park,KOR,Korea,National Championships,Parallel Giant Slalom,5,72.00
41,Jung Seo-yeong,Female,22-02-2022,Wellihilli Park,KOR,Korea,FIS,Parallel Slalom,4,80.00
42,Jung Seo-yeong,Female,21-02-2022,Wellihilli Park,KOR,Korea,FIS,Parallel Giant Slalom,5,72.00
