,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Von Victoria,Female,21-03-2025,Moena-Passo San Pellegrino,ITA,Switzerland,Junior,Snowboard Cross,11,36.00
1,Von Victoria,Female,15-03-2025,Lenk,SUI,Switzerland,European Cup,Snowboard Cross,34,5.72
2,Von Victoria,Female,13-03-2025,Lenk,SUI,Switzerland,European Cup,Snowboard Cross,31,7.28
3,Von Victoria,Female,10-03-2025,Montafon,AUT,Switzerland,Junior Regional Cup,Snowboard Cross,4,70.00
4,Von Victoria,Female,09-03-2025,Montafon,AUT,Switzerland,Junior Regional Cup,Snowboard Cross,10,36.40
5,Von Victoria,Female,16-02-2025,Flumserberg,SUI,Switzerland,Junior Regional Cup,Snowboard Cross,15,25.60
6,Von Victoria,Female,15-02-2025,Flumserberg,SUI,Switzerland,Junior Regional Cup,Snowboard Cross,13,32.00
7,Von Victoria,Female,09-02-2025,Reiteralm,AUT,Switzerland,European Cup,Snowboard Cross,DNS,
8,Von Victoria,Female,08-02-2025,Reiteralm,AUT,Switzerland,European Cup,Snowboard Cross,26,13.00
9,Von Victoria,Female,02-02-2025,Reiteralm,AUT,Switzerland,Junior,Snowboard Cross,14,21.60
10,Von Victoria,Female,01-02-2025,Reiteralm,AUT,Switzerland,Junior,Snowboard Cross,12,26.40
11,Von Victoria,Female,25-01-2025,Passo San Pellegrino,ITA,Switzerland,FIS,Snowboard Cross,23,10.40
12,Von Victoria,Female,24-01-2025,Passo San Pellegrino,ITA,Switzerland,FIS,Snowboard Cross,17,18.20
13,Von Victoria,Female,12-01-2025,Lenk,SUI,Switzerland,Junior Regional Cup,Snowboard Cross,30,5.76
14,Von Victoria,Female,01-12-2024,Pitztal,AUT,Switzerland,Junior,Snowboard Cross,29,7.92
15,Von Victoria,Female,30-11-2024,Pitztal,AUT,Switzerland,Junior,Snowboard Cross,20,24.20
16,Von Victoria,Female,30-11-2024,Pitztal,AUT,Switzerland,Qualification,Snowboard Cross,20,
17,Von Victoria,Female,24-03-2024,Lenk,SUI,Switzerland,National Championships,Snowboard Cross,12,44.00
18,Von Victoria,Female,22-03-2024,Lenk,SUI,Switzerland,European Cup,Snowboard Cross,31,
19,Von Victoria,Female,21-03-2024,Lenk,SUI,Switzerland,European Cup,Snowboard Cross,24,22.40
20,Von Victoria,Female,02-03-2024,St. Moritz,SUI,Switzerland,National Junior Championships,Snowboard Cross,17,
21,Von Victoria,Female,28-01-2024,Lenk,SUI,Switzerland,FIS,Snowboard Cross,8,22.40
22,Von Victoria,Female,27-01-2024,Lenk,SUI,Switzerland,FIS,Snowboard Cross,9,20.30
23,Von Victoria,Female,09-12-2023,Pitztal,AUT,Switzerland,Junior,Snowboard Cross,32,3.90
24,Von Victoria,Female,01-04-2023,St. Moritz,SUI,Switzerland,National Championships,Snowboard Cross,12,63.80
25,Von Victoria,Female,12-03-2023,Lenk,SUI,Switzerland,National Junior Championships,Snowboard Cross,DNS,
26,Von Victoria,Female,19-02-2023,Flumserberg,SUI,Switzerland,Junior,Snowboard Cross,17,
27,Von Victoria,Female,18-02-2023,Flumserberg,SUI,Switzerland,Junior,Snowboard Cross,13,20.00
28,Von Victoria,Female,14-01-2023,Lenk,SUI,Switzerland,FIS,Snowboard Cross,15,14.40
