,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Tsiridis Christos,Male,16-03-2025,Kopaonik,SRB,Greece,National Championships,Slopestyle,2,39.60
1,Tsiridis Christos,Male,16-03-2025,Kopaonik,SRB,Greece,National Championships,Big Air,5,17.60
2,Tsiridis Christos,Male,15-03-2025,Kopaonik,SRB,Greece,National Championships,Big Air,4,
3,Tsiridis Christos,Male,14-03-2025,Kopaonik,SRB,Greece,National Championships,Slopestyle,3,
4,Tsiridis Christos,Male,09-03-2025,Kalavrita,GRE,Greece,National Championships,Big Air,4,28.00
5,Tsiridis Christos,Male,08-03-2025,Kalavrita,GRE,Greece,National Championships,Slopestyle,9,12.50
6,Tsiridis Christos,Male,12-02-2025,Bakuriani,GEO,Greece,European Youth Olympic Festival,Slopestyle,31,1.30
7,Tsiridis Christos,Male,26-01-2025,Anilio,GRE,Greece,National Championships,Rail Event,1,50.00
8,Tsiridis Christos,Male,25-01-2025,Anilio,GRE,Greece,FIS,Slopestyle,12,10.00
9,Tsiridis Christos,Male,19-10-2024,"Ski Dubai, Mall of the Emirates",UAE,Greece,FIS,Rail Event,5,2.50
10,Tsiridis Christos,Male,18-10-2024,"Ski Dubai, Mall of the Emirates",UAE,Greece,FIS,Slopestyle,5,19.10
11,Tsiridis Christos,Male,17-10-2024,"Ski Dubai, Mall of the Emirates",UAE,Greece,FIS,Slopestyle,6,12.30
