,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Buda Octavian,Male,28-02-2025,Passo San Pellegrino,ITA,Italy,European Cup,Snowboard Cross,8,57.60
1,Buda Octavian,Male,27-02-2025,Passo San Pellegrino,ITA,Italy,European Cup,Snowboard Cross,6,72.00
2,Buda Octavian,Male,23-02-2025,Colere,ITA,Italy,FIS,Snowboard Cross,9,52.20
3,Buda Octavian,Male,22-02-2025,Colere,ITA,Italy,FIS,Snowboard Cross,35,3.60
4,Buda Octavian,Male,15-02-2025,Cortina d'Ampezzo,ITA,Italy,Qualification,Snowboard Cross,59,
5,Buda Octavian,Male,15-02-2025,Cortina d'Ampezzo,ITA,Italy,World Cup,Snowboard Cross,59,12.80
6,Buda Octavian,Male,09-02-2025,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,26,10.00
7,Buda Octavian,Male,08-02-2025,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,7,72.00
8,Buda Octavian,Male,31-01-2025,St. Lary,FRA,Italy,European Cup,Snowboard Cross,4,90.00
9,Buda Octavian,Male,24-01-2025,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,30,5.76
10,Buda Octavian,Male,23-01-2025,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,25,12.00
11,Buda Octavian,Male,12-01-2025,Lenk,SUI,Italy,Junior Regional Cup,Snowboard Cross,25,7.20
12,Buda Octavian,Male,14-12-2024,Cervinia,ITA,Italy,World Cup,Snowboard Cross,68,
13,Buda Octavian,Male,13-12-2024,Cervinia,ITA,Italy,Qualification,Snowboard Cross,68,
14,Buda Octavian,Male,01-12-2024,Pitztal,AUT,Italy,Junior,Snowboard Cross,6,48.00
15,Buda Octavian,Male,30-11-2024,Pitztal,AUT,Italy,Qualification,Snowboard Cross,14,
16,Buda Octavian,Male,30-11-2024,Pitztal,AUT,Italy,Junior,Snowboard Cross,11,28.80
17,Buda Octavian,Male,27-11-2024,Pitztal,AUT,Italy,European Cup,Snowboard Cross,92,
18,Buda Octavian,Male,27-11-2024,Pitztal,AUT,Italy,Qualification,Snowboard Cross,92,
19,Buda Octavian,Male,06-04-2024,Gudauri,GEO,Italy,FIS Junior World Championships,Snowboard Cross,20,39.60
20,Buda Octavian,Male,05-04-2024,Gudauri,GEO,Italy,Qualification,Snowboard Cross,19,
21,Buda Octavian,Male,30-03-2024,Colere,ITA,Italy,National Championships,Snowboard Cross,12,63.80
22,Buda Octavian,Male,22-03-2024,Lenk,SUI,Italy,European Cup,Snowboard Cross,33,5.76
23,Buda Octavian,Male,21-03-2024,Lenk,SUI,Italy,European Cup,Snowboard Cross,26,12.00
24,Buda Octavian,Male,14-03-2024,Isola 2000,FRA,Italy,European Cup,Snowboard Cross,11,48.00
25,Buda Octavian,Male,13-03-2024,Isola 2000,FRA,Italy,European Cup,Snowboard Cross,10,52.00
26,Buda Octavian,Male,11-03-2024,Isola 2000,FRA,Italy,Junior,Snowboard Cross,7,54.00
27,Buda Octavian,Male,09-03-2024,Cortina d'Ampezzo,ITA,Italy,World Cup,Snowboard Cross,67,
28,Buda Octavian,Male,08-03-2024,Cortina d'Ampezzo,ITA,Italy,Qualification,Snowboard Cross,67,
29,Buda Octavian,Male,25-02-2024,Grasgehren,GER,Italy,European Cup,Snowboard Cross,34,6.38
30,Buda Octavian,Male,24-02-2024,Grasgehren,GER,Italy,European Cup,Snowboard Cross,58,4.19
31,Buda Octavian,Male,17-02-2024,Colere,ITA,Italy,European Cup,Snowboard Cross,19,28.80
32,Buda Octavian,Male,16-02-2024,Colere,ITA,Italy,European Cup,Snowboard Cross,3,144.00
33,Buda Octavian,Male,06-02-2024,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,30,6.40
34,Buda Octavian,Male,05-02-2024,Reiteralm,AUT,Italy,European Cup,Snowboard Cross,26,10.00
35,Buda Octavian,Male,01-02-2024,Dolni Morava,CZE,Italy,European Cup,Snowboard Cross,61,2.68
36,Buda Octavian,Male,31-01-2024,Dolni Morava,CZE,Italy,European Cup,Snowboard Cross,29,7.92
37,Buda Octavian,Male,28-01-2024,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,23,16.00
38,Buda Octavian,Male,27-01-2024,Puy St. Vincent,FRA,Italy,European Cup,Snowboard Cross,DNF,
39,Buda Octavian,Male,09-12-2023,Pitztal,AUT,Italy,Junior,Snowboard Cross,13,20.00
40,Buda Octavian,Male,03-04-2023,Moena - Passo San Pellegrino,ITA,Italy,National Junior Championships,Snowboard Cross,13,26.00
41,Buda Octavian,Male,02-04-2023,Moena - Passo San Pellegrino,ITA,Italy,National Championships,Snowboard Cross,21,29.00
42,Buda Octavian,Male,19-03-2023,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,15,28.80
43,Buda Octavian,Male,18-03-2023,Passo San Pellegrino,ITA,Italy,FIS,Snowboard Cross,36,3.55
44,Buda Octavian,Male,16-02-2023,Moena - Passo San Pellegrino,ITA,Italy,European Cup,Snowboard Cross,33,6.96
