,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Sazdovski Slobodan,Male,03-10-2025,SnowWorld Landgraaf,NED,North Macedonia,FIS,Slopestyle,39,
1,Sazdovski Slobodan,Male,02-10-2025,SnowWorld Landgraaf,NED,North Macedonia,FIS,Slopestyle,39,
2,Sazdovski Slobodan,Male,08-03-2024,Voras,GRE,North Macedonia,National Championships,Big Air,7,13.80
3,Sazdovski Slobodan,Male,06-03-2024,Kopaonik,SRB,North Macedonia,FIS,Slopestyle,4,22.10
4,Sazdovski Slobodan,Male,06-03-2024,Kopaonik,SRB,North Macedonia,FIS,Big Air,6,9.80
5,Sazdovski Slobodan,Male,05-03-2024,Kopaonik,SRB,North Macedonia,FIS,Slopestyle,6,9.80
6,Sazdovski Slobodan,Male,05-03-2024,Kopaonik,SRB,North Macedonia,FIS,Big Air,4,22.10
7,Sazdovski Slobodan,Male,04-03-2024,Kopaonik,SRB,North Macedonia,National Championships,Big Air,7,4.70
8,Sazdovski Slobodan,Male,04-03-2024,Kopaonik,SRB,North Macedonia,National Championships,Slopestyle,6,9.80
9,Sazdovski Slobodan,Male,01-03-2024,Kopaonik,SRB,North Macedonia,FIS,Big Air,10,11.10
10,Sazdovski Slobodan,Male,29-02-2024,Kopaonik,SRB,North Macedonia,FIS,Slopestyle,12,7.50
11,Sazdovski Slobodan,Male,13-02-2024,Bjelasnica / Sarajevo,BIH,North Macedonia,FIS,Slopestyle,6,9.80
12,Sazdovski Slobodan,Male,12-02-2024,Bjelasnica / Sarajevo,BIH,North Macedonia,FIS,Big Air,7,4.70
13,Sazdovski Slobodan,Male,11-02-2024,Bjelasnica / Sarajevo,BIH,North Macedonia,FIS,Slopestyle,5,15.50
14,Sazdovski Slobodan,Male,10-02-2024,Bjelasnica / Sarajevo,BIH,North Macedonia,FIS,Big Air,2,39.00
15,Sazdovski Slobodan,Male,04-02-2024,Kopaonik,SRB,North Macedonia,FIS,Slopestyle,6,12.30
16,Sazdovski Slobodan,Male,03-02-2024,Kopaonik,SRB,North Macedonia,FIS,Big Air,6,12.30
17,Sazdovski Slobodan,Male,21-01-2024,Kopaonik,SRB,North Macedonia,FIS,Slopestyle,5,15.50
18,Sazdovski Slobodan,Male,20-01-2024,Kopaonik,SRB,North Macedonia,FIS,Big Air,6,2.40
19,Sazdovski Slobodan,Male,13-10-2023,SnowWorld Landgraaf,NED,North Macedonia,FIS,Slopestyle,DNS,
20,Sazdovski Slobodan,Male,12-10-2023,SnowWorld Landgraaf,NED,North Macedonia,FIS,Slopestyle,DNS,
21,Sazdovski Slobodan,Male,26-03-2023,Kopaonik,SRB,North Macedonia,National Championships,Big Air,2,39.00
22,Sazdovski Slobodan,Male,25-03-2023,Kopaonik,SRB,North Macedonia,National Championships,Slopestyle,6,12.30
23,Sazdovski Slobodan,Male,19-03-2023,Kalavrita,GRE,North Macedonia,FIS,Big Air,15,1.20
24,Sazdovski Slobodan,Male,18-03-2023,Kalavrita,GRE,North Macedonia,FIS,Slopestyle,15,2.20
25,Sazdovski Slobodan,Male,10-02-2023,Popova Sapka,MKD,North Macedonia,FIS,Slopestyle,8,6.30
26,Sazdovski Slobodan,Male,09-02-2023,Popova Sapka,MKD,North Macedonia,National Championships,Slopestyle,7,11.60
27,Sazdovski Slobodan,Male,31-01-2023,Bjelasnica,BIH,North Macedonia,FIS,Slopestyle,12,1.80
28,Sazdovski Slobodan,Male,30-01-2023,Bjelasnica,BIH,North Macedonia,FIS,Big Air,9,8.10
29,Sazdovski Slobodan,Male,29-01-2023,Bjelasnica,BIH,North Macedonia,FIS,Slopestyle,12,1.80
30,Sazdovski Slobodan,Male,28-01-2023,Bjelasnica,BIH,North Macedonia,FIS,Big Air,11,3.70
