,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Jeong Soomin,Male,05-01-2025,Phoenix Pyeongchang,KOR,Korea,Asian Cup,Snowboard Cross,8,51.20
1,Jeong Soomin,Male,27-08-2024,Corralco,CHI,Korea,South American Cup,Snowboard Cross,16,24.00
2,Jeong Soomin,Male,19-02-2024,Pheonix PyeongChang,KOR,Korea,FIS,Snowboard Cross,DNS,
3,Jeong Soomin,Male,30-01-2024,Pheonix PyeongChang,KOR,Korea,National Championships,Snowboard Cross,6,20.00
4,Jeong Soomin,Male,29-01-2024,Pheonix PyeongChang,KOR,Korea,FIS,Snowboard Cross,8,16.00
5,Jeong Soomin,Male,28-01-2023,Wellihilli Parkipark,KOR,Korea,FIS,Snowboard Cross,6,20.00
6,Jeong Soomin,Male,19-02-2022,Wellihilli Parkipark,KOR,Korea,National Championships,Snowboard Cross,8,16.00
7,Jeong Soomin,Male,18-02-2022,Wellihilli Parkipark,KOR,Korea,FIS,Snowboard Cross,12,
8,Jeong Soomin,Male,17-02-2022,Wellihilli Park,KOR,Korea,FIS,Snowboard Cross,6,20.00
9,Jeong Soomin,Male,23-02-2021,Pyeongchang,KOR,Korea,National Championships,Snowboard Cross,4,25.00
10,Jeong Soomin,Male,22-02-2021,Pyeongchang,KOR,Korea,FIS,Snowboard Cross,7,18.00
11,Jeong Soomin,Male,08-02-2021,Pyeongchang,KOR,Korea,FIS,Snowboard Cross,8,16.00
