,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Stracuzzi Olivia,Female,12-04-2025,Mt St. Anne,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,14,52.20
1,Stracuzzi Olivia,Female,11-04-2025,Mt St. Anne,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,14,52.20
2,Stracuzzi Olivia,Female,07-03-2025,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,11,38.40
3,Stracuzzi Olivia,Female,06-03-2025,Horseshoe Resort,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,11,38.40
4,Stracuzzi Olivia,Female,02-03-2025,Gore Mountain Ski Area,USA,United States Of America,FIS,Snowboard Cross,15,24.00
5,Stracuzzi Olivia,Female,01-03-2025,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,20,22.00
6,Stracuzzi Olivia,Female,28-02-2025,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,20,22.00
7,Stracuzzi Olivia,Female,24-01-2025,Val Saint Come,CAN,United States Of America,FIS,Snowboard Cross,DNS,
8,Stracuzzi Olivia,Female,05-01-2025,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,11,48.00
9,Stracuzzi Olivia,Female,04-01-2025,Sun Peaks,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,16,30.00
10,Stracuzzi Olivia,Female,07-04-2024,Gudauri,GEO,United States Of America,FIS Junior World Championships,Snowboard Cross Team,11,
11,Stracuzzi Olivia,Female,06-04-2024,Gudauri,GEO,United States Of America,FIS Junior World Championships,Snowboard Cross,22,32.40
12,Stracuzzi Olivia,Female,05-04-2024,Gudauri,GEO,United States Of America,Qualification,Snowboard Cross,23,
13,Stracuzzi Olivia,Female,29-03-2024,Mt St. Anne,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,10,41.60
14,Stracuzzi Olivia,Female,28-03-2024,Mt St. Anne,CAN,United States Of America,Nor-Am Cup,Snowboard Cross,11,38.40
15,Stracuzzi Olivia,Female,19-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,FIS,Snowboard Cross,9,31.90
16,Stracuzzi Olivia,Female,17-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,13,32.00
17,Stracuzzi Olivia,Female,16-03-2024,Steamboat Ski and Resort / Mount Werner,USA,United States Of America,Nor-Am Cup,Snowboard Cross,18,20.80
18,Stracuzzi Olivia,Female,01-03-2024,Sunday River Resort,USA,United States Of America,FIS,Snowboard Cross,3,54.00
19,Stracuzzi Olivia,Female,28-02-2024,Sunday River Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,4,80.00
20,Stracuzzi Olivia,Female,27-02-2024,Sunday River Resort,USA,United States Of America,Nor-Am Cup,Snowboard Cross,14,28.80
21,Stracuzzi Olivia,Female,23-02-2024,Gore Mountain Ski Area,USA,United States Of America,FIS,Snowboard Cross,3,60.00
22,Stracuzzi Olivia,Female,22-02-2024,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,10,41.60
23,Stracuzzi Olivia,Female,21-02-2024,Gore Mountain Ski Area,USA,United States Of America,Nor-Am Cup,Snowboard Cross,7,57.60
24,Stracuzzi Olivia,Female,04-02-2024,Val Saint Come,CAN,United States Of America,FIS,Snowboard Cross,2,
25,Stracuzzi Olivia,Female,03-02-2024,Val Saint Come,CAN,United States Of America,FIS,Snowboard Cross,2,40.00
