,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Park Mingeon,Male,23-03-2025,Sapporo Bankei,JPN,Korea,FIS,Halfpipe,16,11.60
1,Park Mingeon,Male,16-03-2025,Sapporo Bankei,JPN,Korea,FIS,Halfpipe,18,9.90
2,Park Mingeon,Male,02-03-2025,Gujo,JPN,Korea,National Championships,Halfpipe,24,33.70
3,Park Mingeon,Male,18-02-2025,Phoenix Pyeongchang,KOR,Korea,National Championships,Halfpipe,6,18.40
4,Park Mingeon,Male,17-02-2025,Phoenix Pyeongchang,KOR,Korea,Asian Cup,Halfpipe,3,79.50
5,Park Mingeon,Male,25-01-2025,Phoenix Pyeongchang,KOR,Korea,FIS,Big Air,10,4.40
6,Park Mingeon,Male,23-01-2025,Phoenix Pyeongchang,KOR,Korea,FIS,Slopestyle,6,16.50
7,Park Mingeon,Male,17-03-2024,Spporo,JPN,Korea,National Championships,Halfpipe,32,5.00
8,Park Mingeon,Male,10-03-2024,Sapporo,JPN,Korea,FIS,Halfpipe,23,5.00
9,Park Mingeon,Male,28-02-2024,Yongpyong,KOR,Korea,National Championships,Big Air,9,8.30
10,Park Mingeon,Male,27-02-2024,Yongpyong,KOR,Korea,National Championships,Slopestyle,6,29.70
11,Park Mingeon,Male,24-02-2024,Welli Hilli,KOR,Korea,National Championships,Halfpipe,6,44.30
12,Park Mingeon,Male,15-02-2024,Pheonix PyeongChang,KOR,Korea,FIS,Halfpipe,2,7.10
13,Park Mingeon,Male,06-02-2024,Pheonix PyeongChang,KOR,Korea,FIS,Big Air,1,50.00
14,Park Mingeon,Male,05-02-2024,Pheonix PyeongChang,KOR,Korea,FIS,Slopestyle,6,12.30
