,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Scott Vincent,Male,21-02-2025,Val Saint Come,CAN,Canada,FIS,Parallel Giant Slalom,6,28.00
1,Scott Vincent,Male,25-01-2025,Val Saint Come,CAN,Canada,FIS,Snowboard Cross,4,25.00
2,Scott Vincent,Male,24-01-2025,Val Saint Come,CAN,Canada,FIS,Snowboard Cross,6,20.00
3,Scott Vincent,Male,05-01-2025,Val Saint Come,CAN,Canada,FIS,Parallel Giant Slalom,6,20.00
4,Scott Vincent,Male,29-03-2024,Mt St. Anne,CAN,Canada,Nor-Am Cup,Snowboard Cross,31,5.60
5,Scott Vincent,Male,28-03-2024,Mt St. Anne,CAN,Canada,Nor-Am Cup,Snowboard Cross,35,4.40
6,Scott Vincent,Male,08-03-2024,Beaver Valley,CAN,Canada,National Junior Championships,Snowboard Cross,7,25.20
7,Scott Vincent,Male,23-02-2024,Mont Ste-Marie,CAN,Canada,FIS,Snowboard Cross,6,20.00
8,Scott Vincent,Male,22-02-2024,Mont Ste-Marie,CAN,Canada,FIS,Snowboard Cross,4,25.00
9,Scott Vincent,Male,07-02-2024,Val Saint Come,CAN,Canada,FIS,Parallel Giant Slalom,13,22.00
10,Scott Vincent,Male,04-02-2024,Val Saint Come,CAN,Canada,FIS,Snowboard Cross,7,18.00
11,Scott Vincent,Male,03-02-2024,Val Saint Come,CAN,Canada,FIS,Snowboard Cross,9,14.50
