,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Ristevska Angela,Female,19-10-2025,"Ski Dubai, Mall of the Emirates (UAE)",UAE,North Macedonia,Asian Cup,Rail Event,2,0.10
1,Ristevska Angela,Female,18-10-2025,"Ski Dubai, Mall of the Emirates (UAE)",UAE,North Macedonia,FIS,Slopestyle,2,0.10
2,Ristevska Angela,Female,17-10-2025,"Ski Dubai, Mall of the Emirates (UAE)",UAE,North Macedonia,FIS,Slopestyle,2,0.10
3,Ristevska Angela,Female,04-10-2025,SnowWorld Landgraaf,NED,North Macedonia,FIS,Rail Event,4,23.70
4,Ristevska Angela,Female,03-10-2025,SnowWorld Landgraaf,NED,North Macedonia,FIS,Slopestyle,10,6.90
5,Ristevska Angela,Female,02-10-2025,SnowWorld Landgraaf,NED,North Macedonia,FIS,Slopestyle,10,6.90
6,Ristevska Angela,Female,16-03-2025,Kopaonik,SRB,North Macedonia,National Championships,Big Air,8,12.30
7,Ristevska Angela,Female,16-03-2025,Kopaonik,SRB,North Macedonia,National Championships,Slopestyle,5,23.30
8,Ristevska Angela,Female,15-03-2025,Kopaonik,SRB,North Macedonia,National Championships,Big Air,9,11.90
9,Ristevska Angela,Female,14-03-2025,Kopaonik,SRB,North Macedonia,National Championships,Slopestyle,9,12.80
10,Ristevska Angela,Female,09-03-2025,Kalavrita,GRE,North Macedonia,National Championships,Big Air,5,7.80
11,Ristevska Angela,Female,08-03-2025,Kalavrita,GRE,North Macedonia,National Championships,Slopestyle,4,16.40
12,Ristevska Angela,Female,12-02-2025,Bakuriani,GEO,North Macedonia,European Youth Olympic Festival,Slopestyle,22,0.10
13,Ristevska Angela,Female,19-01-2025,Kopaonik,SRB,North Macedonia,FIS,Big Air,3,30.90
14,Ristevska Angela,Female,18-01-2025,Kopaonik,SRB,North Macedonia,FIS,Slopestyle,8,9.60
15,Ristevska Angela,Female,07-01-2025,Bjelasnica/ Sarajevo,BIH,North Macedonia,FIS,Slopestyle,3,0.10
16,Ristevska Angela,Female,06-01-2025,Bjelasnica/ Sarajevo,BIH,North Macedonia,FIS,Big Air,3,0.10
17,Ristevska Angela,Female,19-10-2024,"Ski Dubai, Mall of the Emirates",UAE,North Macedonia,FIS,Rail Event,4,0.10
18,Ristevska Angela,Female,18-10-2024,"Ski Dubai, Mall of the Emirates",UAE,North Macedonia,FIS,Slopestyle,5,0.20
19,Ristevska Angela,Female,17-10-2024,"Ski Dubai, Mall of the Emirates",UAE,North Macedonia,FIS,Slopestyle,4,10.60
20,Ristevska Angela,Female,05-10-2024,SnowWorld Landgraaf,NED,North Macedonia,FIS,Rail Event,14,2.40
21,Ristevska Angela,Female,04-10-2024,SnowWorld Landgraaf,NED,North Macedonia,FIS,Slopestyle,20,0.10
22,Ristevska Angela,Female,03-10-2024,SnowWorld Landgraaf,NED,North Macedonia,FIS,Slopestyle,20,0.10
