,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Mcrae Carmen,Female,16-02-2025,Val St. Come,CAN,Canada,World Cup,Parallel Giant Slalom,35,
1,Mcrae Carmen,Female,16-02-2025,Val St. Come,CAN,Canada,Qualification,Parallel Giant Slalom,35,
2,Mcrae Carmen,Female,15-02-2025,Val St. Come,CAN,Canada,World Cup,Parallel Giant Slalom,32,26.00
3,Mcrae Carmen,Female,15-02-2025,Val St. Come,CAN,Canada,Qualification,Parallel Giant Slalom,32,
4,Mcrae Carmen,Female,06-02-2025,Toronto Ski Club,CAN,Canada,Nor-Am Cup,Parallel Slalom,12,63.80
5,Mcrae Carmen,Female,05-02-2025,Toronto Ski Club,CAN,Canada,Nor-Am Cup,Parallel Giant Slalom,8,92.80
6,Mcrae Carmen,Female,25-01-2025,Horseshoe Resort,CAN,Canada,FIS,Parallel Slalom,1,50.00
7,Mcrae Carmen,Female,17-01-2025,Afton Alps Ski Area,USA,Canada,FIS,Parallel Slalom,5,22.50
8,Mcrae Carmen,Female,17-01-2025,Afton Alps Ski Area,USA,Canada,Nor-Am Cup,Parallel Slalom,6,64.00
9,Mcrae Carmen,Female,16-01-2025,Afton Alps Ski Area,USA,Canada,Nor-Am Cup,Parallel Slalom,4,80.00
10,Mcrae Carmen,Female,04-01-2025,Val Saint Come,CAN,Canada,Nor-Am Cup,Parallel Giant Slalom,11,43.20
11,Mcrae Carmen,Female,03-01-2025,Val Saint Come,CAN,Canada,Nor-Am Cup,Parallel Giant Slalom,11,43.20
12,Mcrae Carmen,Female,11-03-2023,Horseshoe Resort,CAN,Canada,FIS,Parallel Giant Slalom,4,50.00
13,Mcrae Carmen,Female,10-03-2023,Horseshoe Resort,CAN,Canada,FIS,Parallel Slalom,3,60.00
14,Mcrae Carmen,Female,10-03-2023,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Parallel Slalom,4,80.00
15,Mcrae Carmen,Female,09-03-2023,Horseshoe Resort,CAN,Canada,Nor-Am Cup,Parallel Slalom,6,64.00
16,Mcrae Carmen,Female,11-02-2023,Ontario,CAN,Canada,FIS,Parallel Giant Slalom,DNF,
17,Mcrae Carmen,Female,08-02-2023,Tremblant.QC,CAN,Canada,Nor-Am Cup,Parallel Giant Slalom,DNS,
18,Mcrae Carmen,Female,07-02-2023,Tremblant.QC,CAN,Canada,Nor-Am Cup,Parallel Giant Slalom,DNF,
19,Mcrae Carmen,Female,02-02-2023,Blue,CAN,Canada,National Junior Championships,Parallel Slalom,8,28.80
20,Mcrae Carmen,Female,01-02-2023,Blue,CAN,Canada,National Junior Championships,Parallel Giant Slalom,4,45.00
21,Mcrae Carmen,Female,31-01-2023,Blue,CAN,Canada,Nor-Am Cup,Parallel Slalom,DSQ,
22,Mcrae Carmen,Female,30-01-2023,Blue,CAN,Canada,Nor-Am Cup,Parallel Giant Slalom,14,46.80
23,Mcrae Carmen,Female,20-03-2022,Beaver Valley,CAN,Canada,FIS,Parallel Slalom,1,
24,Mcrae Carmen,Female,19-03-2022,Beaver Valley,CAN,Canada,FIS,Parallel Giant Slalom,2,
25,Mcrae Carmen,Female,01-03-2022,"Holiday Valley Resort, NY",USA,Canada,Nor-Am Cup,Parallel Giant Slalom,DSQ,
26,Mcrae Carmen,Female,28-02-2022,"Holiday Valley Resort, NY",USA,Canada,Nor-Am Cup,Parallel Giant Slalom,20,
27,Mcrae Carmen,Female,25-02-2022,Alpine Ski Club,CAN,Canada,FIS,Parallel Giant Slalom,13,20.00
28,Mcrae Carmen,Female,24-02-2022,Alpine Ski Club,CAN,Canada,Nor-Am Cup,Parallel Slalom,14,32.40
29,Mcrae Carmen,Female,23-02-2022,Alpine Ski Club,CAN,Canada,Nor-Am Cup,Parallel Slalom,13,32.00
30,Mcrae Carmen,Female,17-02-2022,Blue Mountain,CAN,Canada,National Junior Championships,Parallel Slalom,6,28.00
31,Mcrae Carmen,Female,16-02-2022,Blue Mountain,CAN,Canada,National Junior Championships,Parallel Giant Slalom,DSQ,
32,Mcrae Carmen,Female,28-01-2022,Blue Mountain,CAN,Canada,FIS,Parallel Giant Slalom,5,22.50
