,Name,Gender,Date,Location,Country,Nation,Category,Discipline,Position,FIS Points
0,Wilson Abbey,Female,23-02-2025,Colere,ITA,Australia,FIS,Snowboard Cross,4,110.00
1,Wilson Abbey,Female,22-02-2025,Colere,ITA,Australia,FIS,Snowboard Cross,4,110.00
2,Wilson Abbey,Female,16-02-2025,Flumserberg,SUI,Australia,Junior Regional Cup,Snowboard Cross,3,96.00
3,Wilson Abbey,Female,15-02-2025,Flumserberg,SUI,Australia,Junior Regional Cup,Snowboard Cross,2,128.00
4,Wilson Abbey,Female,09-02-2025,Reiteralm,AUT,Australia,European Cup,Snowboard Cross,13,52.00
5,Wilson Abbey,Female,08-02-2025,Reiteralm,AUT,Australia,European Cup,Snowboard Cross,15,41.60
6,Wilson Abbey,Female,02-02-2025,St. Lary,FRA,Australia,National Championships,Snowboard Cross,5,81.00
7,Wilson Abbey,Female,31-01-2025,St. Lary,FRA,Australia,European Cup,Snowboard Cross,5,117.00
8,Wilson Abbey,Female,24-01-2025,Puy St. Vincent,FRA,Australia,European Cup,Snowboard Cross,2,208.00
9,Wilson Abbey,Female,23-01-2025,Puy St. Vincent,FRA,Australia,European Cup,Snowboard Cross,7,129.60
10,Wilson Abbey,Female,12-01-2025,Lenk,SUI,Australia,Junior Regional Cup,Snowboard Cross,3,108.00
11,Wilson Abbey,Female,17-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,12,79.20
12,Wilson Abbey,Female,15-08-2024,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,7,129.60
13,Wilson Abbey,Female,14-08-2024,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,8,48.00
14,Wilson Abbey,Female,21-01-2024,Gangwon/Welli Hilli,KOR,Australia,Youth Olympic Winter Games,Snowboard Cross Team,3,
15,Wilson Abbey,Female,20-01-2024,Gangwon/Welli Hilli,KOR,Australia,Youth Olympic Winter Games,Snowboard Cross,4,145.00
16,Wilson Abbey,Female,19-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,6,144.00
17,Wilson Abbey,Female,18-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,7,86.40
18,Wilson Abbey,Female,17-08-2023,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,3,216.00
19,Wilson Abbey,Female,16-08-2023,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,2,72.00
20,Wilson Abbey,Female,31-03-2023,Passo San Pellegrino,ITA,Australia,FIS Junior World Championships,Snowboard Cross Team,17,
21,Wilson Abbey,Female,30-03-2023,Passo San Pellegrino,ITA,Australia,FIS Junior World Championships,Snowboard Cross,9,104.40
22,Wilson Abbey,Female,16-02-2023,Moena - Passo San Pellegrino,ITA,Australia,European Cup,Snowboard Cross,9,92.80
23,Wilson Abbey,Female,15-02-2023,Moena - Passo San Pellegrino,ITA,Australia,European Cup,Snowboard Cross,23,25.60
24,Wilson Abbey,Female,05-02-2023,Dolni Morava,CZE,Australia,FIS,Snowboard Cross,3,60.00
25,Wilson Abbey,Female,04-02-2023,Dolni Morava,CZE,Australia,FIS,Snowboard Cross,3,60.00
26,Wilson Abbey,Female,03-02-2023,Dolni Morava,CZE,Australia,FIS,Snowboard Cross,9,29.00
27,Wilson Abbey,Female,22-01-2023,Puy St.Vincent,FRA,Australia,European Cup,Snowboard Cross,17,50.40
28,Wilson Abbey,Female,21-01-2023,Puy St.Vincent,FRA,Australia,European Cup,Snowboard Cross,19,43.20
29,Wilson Abbey,Female,14-01-2023,Lenk,SUI,Australia,FIS,Snowboard Cross,5,40.50
30,Wilson Abbey,Female,08-01-2023,Isola 2000,FRA,Australia,Junior,Snowboard Cross,13,44.00
31,Wilson Abbey,Female,07-01-2023,Isola 2000,FRA,Australia,European Cup,Snowboard Cross,7,93.60
32,Wilson Abbey,Female,06-01-2023,Isola 2000,FRA,Australia,European Cup,Snowboard Cross,11,62.40
33,Wilson Abbey,Female,12-09-2022,Perisher,AUS,Australia,Junior,Snowboard Cross,2,40.00
34,Wilson Abbey,Female,03-09-2022,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,11,38.40
35,Wilson Abbey,Female,02-09-2022,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,5,72.00
36,Wilson Abbey,Female,01-09-2022,Mt Hotham,AUS,Australia,Australian New Zealand Cup,Snowboard Cross,8,51.20
37,Wilson Abbey,Female,31-08-2022,Mt Hotham,AUS,Australia,Junior,Snowboard Cross,1,50.00
38,Wilson Abbey,Female,14-08-2022,Mt Buller,AUS,Australia,Junior,Snowboard Cross,6,20.00
39,Wilson Abbey,Female,31-07-2022,Thredbo,AUS,Australia,Junior,Snowboard Cross,3,30.00
40,Wilson Abbey,Female,06-03-2022,Dolni Morava,CZE,Australia,FIS,Snowboard Cross,6,28.00
41,Wilson Abbey,Female,05-03-2022,Dolni Morava,CZE,Australia,FIS,Snowboard Cross,13,22.00
42,Wilson Abbey,Female,27-02-2022,Flumserberg,SUI,Australia,FIS,Snowboard Cross,9,20.30
43,Wilson Abbey,Female,26-02-2022,Flumserberg,SUI,Australia,FIS,Snowboard Cross,7,25.20
44,Wilson Abbey,Female,06-02-2022,Dolni Morava,CZE,Australia,FIS,Snowboard Cross,17,18.20
45,Wilson Abbey,Female,05-02-2022,Dolni Morava,CZE,Australia,FIS,Snowboard Cross,18,16.90
46,Wilson Abbey,Female,23-01-2022,Vitkovice,CZE,Australia,FIS,Snowboard Cross,7,25.20
47,Wilson Abbey,Female,22-01-2022,Vitkovice,CZE,Australia,FIS,Snowboard Cross,1,70.00
